id,user_id,device_id,ip,event_type,details,occurred_at
1,1,,127.0.0.1,3,"{""props"": ""{\""card_id\"": 375, \""stay_ms\"": 17244}""}",2025-06-13 18:20:02
2,1,dev_1438_dlhxba,127.0.0.1,2,"{""props"": ""{\""card_id\"": 100, \""stay_ms\"": 7182}""}",2025-06-29 21:48:02
3,1,dev_1674_lol3d7,127.0.0.1,0,"{""props"": ""{\""card_id\"": 428, \""stay_ms\"": 14805}""}",2025-07-27 16:11:02
4,1,dev_1292_aq1drr,127.0.0.1,1,"{""props"": ""{\""card_id\"": 1855, \""stay_ms\"": 1504}""}",2025-06-17 15:31:02
5,1,,127.0.0.1,1,"{""props"": ""{\""card_id\"": 877, \""stay_ms\"": 4013}""}",2025-07-26 10:40:02
6,1,,127.0.0.1,3,"{""props"": ""{\""card_id\"": 1054, \""stay_ms\"": 17307}""}",2025-06-15 12:35:02
7,1,,127.0.0.1,0,"{""props"": ""{\""card_id\"": 254, \""stay_ms\"": 12196}""}",2025-08-16 16:42:02
8,1,dev_966_b4dj7n,127.0.0.1,3,"{""props"": ""{\""card_id\"": 772, \""stay_ms\"": 5922}""}",2025-06-15 05:04:02
9,2,dev_1848_zg1iga,127.0.0.1,3,"{""props"": ""{\""card_id\"": 60, \""stay_ms\"": 14761}""}",2025-08-11 13:16:02
10,2,dev_1565_kh1xll,127.0.0.1,0,"{""props"": ""{\""card_id\"": 400, \""stay_ms\"": 7947}""}",2025-06-30 07:29:02
11,2,dev_798_kmrfsf,127.0.0.1,0,"{""props"": ""{\""card_id\"": 1317, \""stay_ms\"": 16101}""}",2025-07-17 01:48:02
12,2,dev_371_r0yu45,127.0.0.1,1,"{""props"": ""{\""card_id\"": 1340, \""stay_ms\"": 2950}""}",2025-07-03 08:50:02
13,2,,127.0.0.1,3,"{""props"": ""{\""card_id\"": 1529, \""stay_ms\"": 9054}""}",2025-07-28 06:08:02
14,2,,127.0.0.1,2,"{""props"": ""{\""card_id\"": 706, \""stay_ms\"": 16442}""}",2025-08-19 17:58:02
15,2,dev_1273_xy9or1,127.0.0.1,1,"{""props"": ""{\""card_id\"": 1818, \""stay_ms\"": 15411}""}",2025-07-28 21:36:02
16,2,,127.0.0.1,1,"{""props"": ""{\""card_id\"": 1587, \""stay_ms\"": 3033}""}",2025-07-11 21:17:02
17,2,,127.0.0.1,0,"{""props"": ""{\""card_id\"": 1855, \""stay_ms\"": 5118}""}",2025-08-02 07:55:02
18,2,dev_1093_vrzk1i,127.0.0.1,0,"{""props"": ""{\""card_id\"": 301, \""stay_ms\"": 1748}""}",2025-09-07 02:50:02
19,2,dev_1842_poozwr,127.0.0.1,1,"{""props"": ""{\""card_id\"": 1219, \""stay_ms\"": 13858}""}",2025-08-10 00:38:02
20,3,dev_1731_wy9zw5,127.0.0.1,1,"{""props"": ""{\""card_id\"": 1888, \""stay_ms\"": 2975}""}",2025-07-25 23:36:02
21,3,,127.0.0.1,3,"{""props"": ""{\""card_id\"": 1896, \""stay_ms\"": 9495}""}",2025-08-11 04:32:02
22,3,,127.0.0.1,0,"{""props"": ""{\""card_id\"": 696, \""stay_ms\"": 17674}""}",2025-09-01 03:48:02
23,3,,127.0.0.1,1,"{""props"": ""{\""card_id\"": 966, \""stay_ms\"": 4532}""}",2025-07-11 12:40:02
24,3,dev_810_95ojw9,127.0.0.1,1,"{""props"": ""{\""card_id\"": 57, \""stay_ms\"": 14125}""}",2025-09-10 01:32:02
