id,user_id,media_id,media_type,status,labels,reviewer_id,evidence,created_at,updated_at
1,1,1,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.907}",,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/1/1.jpg""}",2025-06-18 11:04:02,2025-07-30 22:52:30
2,1,2,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.822}",100480,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/1/2.jpg""}",2025-07-17 11:04:02,2024-12-16 03:25:51
3,1,3,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.945}",100459,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/1/3.jpg""}",2025-07-18 11:04:02,2025-05-25 16:44:06
4,1,4,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.853}",100176,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/1/4.jpg""}",2025-07-08 11:04:02,2025-02-19 17:21:59
5,2,5,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.958}",100272,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/2/1.jpg""}",2025-08-04 11:04:02,2024-10-26 15:40:07
6,2,6,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.886}",100344,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/2/2.jpg""}",2025-06-19 11:04:02,2024-10-20 08:40:48
7,3,7,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.982}",100084,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/3/1.jpg""}",2025-09-03 11:04:02,2025-05-21 06:59:26
8,4,8,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.894}",,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/4/1.jpg""}",2025-08-13 11:04:02,2025-01-15 12:13:51
9,4,9,1,0,"{""labels"": [""face"", ""portrait""], ""score"": 0.866}",100330,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/4/2.jpg""}",2025-08-29 11:04:02,2025-09-29 00:27:20
10,4,10,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.864}",100335,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/4/3.jpg""}",2025-08-08 11:04:02,2024-11-12 23:11:20
11,4,11,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.927}",100280,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/4/4.jpg""}",2025-08-11 11:04:02,2025-02-23 18:23:38
12,5,12,1,1,"{""labels"": [""face"", ""portrait""], ""score"": 0.825}",,"{""src"": ""user_media"", ""url"": ""https://img.example.com/avatars/5/1.jpg""}",2025-06-11 11:04:02,2025-07-14 01:36:10
