id,user_id,status,reason,reviewer_id,recheck_reviewer_id,ocr_result,meta,created_at,updated_at
1,1,1,,100012,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-16 07:00:57,2024-11-16 11:42:57
2,2,1,,100071,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-06 02:56:33,2025-06-06 04:41:33
3,3,0,审核中,100044,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-10-27 15:12:47,2024-10-27 22:25:47
4,4,0,审核中,100047,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-23 09:59:04,2025-09-23 13:43:04
5,5,1,,100308,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-11 16:40:12,2025-06-11 17:08:12
6,6,1,,100366,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-26 03:49:47,2024-12-26 13:08:47
7,7,1,,100229,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-09 03:02:36,2025-03-09 07:47:36
8,8,1,,100357,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-10-06 05:15:23,2025-10-06 12:28:23
9,9,1,,100079,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-04-18 00:57:08,2025-04-18 04:38:08
10,10,1,,100047,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-04-20 07:20:53,2025-04-20 13:50:53
11,11,1,,100433,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-20 21:59:57,2025-08-21 03:52:57
12,12,0,审核中,100413,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-04 01:26:18,2024-12-04 02:11:18
13,13,0,审核中,100063,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-15 15:32:45,2025-02-15 22:00:45
14,14,0,审核中,100150,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-29 14:58:12,2025-08-29 21:09:12
15,15,1,,100360,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-18 04:04:06,2024-12-18 05:16:06
16,16,0,审核中,100395,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-16 02:46:18,2025-09-16 07:43:18
17,17,2,证件不通过,100443,100051,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-30 02:35:37,2025-08-30 09:05:37
18,18,1,,100325,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-19 18:33:40,2025-05-20 00:47:40
19,19,2,证件不通过,100181,100107,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-17 21:35:29,2025-07-18 02:09:29
20,20,2,证件不通过,100036,100311,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-10-14 11:28:30,2024-10-14 14:24:30
21,21,1,,100083,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-01-09 02:09:22,2025-01-09 10:03:22
22,22,1,,100473,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-29 01:14:27,2025-03-29 10:45:27
23,23,0,审核中,100431,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-18 23:15:45,2025-06-19 00:13:45
24,24,1,,100412,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-14 09:54:02,2025-06-14 15:18:02
25,25,0,审核中,100033,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-18 01:19:16,2025-03-18 04:56:16
26,26,1,,100108,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-22 23:36:44,2024-12-23 08:08:44
27,27,1,,100234,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-20 11:39:50,2025-03-20 14:06:50
28,28,1,,100126,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-27 05:59:08,2025-05-27 15:34:08
29,29,1,,100382,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-01-07 01:30:11,2025-01-07 11:29:11
30,30,0,审核中,100204,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-03 13:49:25,2025-03-03 20:00:25
31,31,2,证件不通过,100260,100252,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-19 06:01:58,2025-06-19 07:35:58
32,32,0,审核中,100078,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-15 07:04:38,2025-09-15 09:48:38
33,33,0,审核中,100305,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-10-25 19:41:56,2024-10-25 20:47:56
34,34,0,审核中,100305,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-25 21:10:30,2025-03-26 05:10:30
35,35,0,审核中,100497,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-01-12 01:54:56,2025-01-12 11:21:56
36,36,2,证件不通过,100349,100453,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-10-04 06:53:55,2025-10-04 16:03:55
37,37,1,,100174,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-25 11:43:57,2025-05-25 13:38:57
38,38,0,审核中,100080,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-11 19:14:24,2025-05-12 02:59:24
39,39,0,审核中,100497,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-10-08 01:28:47,2025-10-08 10:01:47
40,40,0,审核中,100467,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-09 16:35:07,2025-07-09 18:24:07
41,41,1,,100430,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-23 00:12:12,2024-11-23 08:52:12
42,42,1,,100078,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-02 03:49:38,2024-12-02 10:12:38
43,43,0,审核中,100488,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-18 15:25:52,2025-07-19 00:29:52
44,44,0,审核中,100165,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-10-08 13:15:45,2025-10-08 21:36:45
45,45,1,,100475,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-30 06:59:47,2025-09-30 13:11:47
46,46,0,审核中,100029,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-05 02:21:04,2025-05-05 06:28:04
47,47,1,,100043,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-23 08:12:07,2024-12-23 16:30:07
48,48,2,证件不通过,100392,100064,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-03 15:40:27,2025-09-03 17:52:27
49,49,0,审核中,100484,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-05 17:45:53,2024-11-06 03:08:53
50,50,1,,100270,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-17 01:25:08,2025-07-17 08:39:08
51,51,0,审核中,100386,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-22 15:26:03,2025-06-22 18:52:03
52,52,2,证件不通过,100204,100343,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-10-08 23:43:12,2024-10-09 06:06:12
53,53,2,证件不通过,100231,100061,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-26 16:13:30,2025-02-26 20:27:30
54,54,1,,100173,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-16 08:44:17,2025-06-16 09:06:17
55,55,0,审核中,100117,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-11 14:54:06,2024-12-11 18:40:06
56,56,1,,100362,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-10-06 08:29:04,2025-10-06 09:30:04
57,57,0,审核中,100463,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-14 08:36:55,2025-06-14 09:09:55
58,58,1,,100263,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-04-23 08:29:22,2025-04-23 12:33:22
59,59,1,,100109,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-19 17:23:45,2025-05-20 02:36:45
60,60,0,审核中,100295,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-02 14:16:42,2025-08-02 22:21:42
61,61,1,,100413,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-06 17:50:56,2025-06-07 00:47:56
62,62,1,,100049,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-04 07:38:06,2025-07-04 15:00:06
63,63,0,审核中,100210,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-04-10 19:38:50,2025-04-11 03:37:50
64,64,1,,100330,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-11 11:16:40,2025-09-11 12:57:40
65,65,1,,100372,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-07 20:24:37,2025-09-08 02:12:37
66,66,2,证件不通过,100098,100097,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-15 02:00:58,2025-08-15 11:10:58
67,67,1,,100216,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-22 05:57:56,2025-02-22 09:05:56
68,68,0,审核中,100127,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-19 18:13:32,2025-05-19 19:31:32
69,69,0,审核中,100050,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-24 15:01:57,2025-02-24 15:53:57
70,70,2,证件不通过,100428,100007,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-09 15:23:14,2024-11-09 16:59:14
71,71,0,审核中,100208,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-10 05:00:51,2025-06-10 13:18:51
72,72,2,证件不通过,100442,100205,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-05 03:17:13,2025-02-05 04:18:13
73,73,0,审核中,100001,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-16 21:16:17,2025-07-17 03:56:17
74,74,1,,100146,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-05-26 18:30:11,2025-05-27 01:44:11
75,75,0,审核中,100338,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-10-17 14:50:04,2024-10-17 23:09:04
76,76,1,,100151,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-22 04:09:19,2025-07-22 07:52:19
77,77,1,,100376,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-09 13:58:55,2025-09-09 23:14:55
78,78,1,,100029,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-07 23:39:05,2025-09-08 00:31:05
79,79,0,审核中,100257,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-13 17:42:36,2024-12-14 02:46:36
80,80,2,证件不通过,100491,100260,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-21 08:59:54,2025-07-21 10:22:54
81,81,0,审核中,100304,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-07-06 08:34:28,2025-07-06 09:44:28
82,82,0,审核中,100206,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-10-29 02:30:21,2024-10-29 04:33:21
83,83,2,证件不通过,100296,100304,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-22 02:06:18,2024-12-22 02:47:18
84,84,1,,100214,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-26 08:05:04,2024-11-26 18:03:04
85,85,2,证件不通过,100161,100478,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-23 16:02:07,2024-12-23 20:30:07
86,86,0,审核中,100122,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-26 23:37:49,2025-06-27 04:09:49
87,87,2,证件不通过,100343,100330,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-21 06:18:15,2025-03-21 11:26:15
88,88,2,证件不通过,100475,100384,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-16 23:33:28,2025-02-17 00:48:28
89,89,1,,100318,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-10-04 18:23:01,2025-10-05 04:00:01
90,90,1,,100275,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-19 08:24:07,2025-08-19 12:03:07
91,91,1,,100067,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-01-23 01:24:49,2025-01-23 07:22:49
92,92,2,证件不通过,100189,100145,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-04 02:10:31,2025-09-04 04:52:31
93,93,1,,100360,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-02-26 15:17:29,2025-02-26 20:27:29
94,94,0,审核中,100270,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-29 11:15:32,2024-11-29 11:24:32
95,95,0,审核中,100153,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-01 14:52:37,2024-11-01 16:39:37
96,96,0,审核中,100059,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-02 01:26:25,2025-08-02 03:16:25
97,97,0,审核中,100139,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-30 05:24:35,2024-12-30 10:13:35
98,98,1,,100367,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-04 03:24:02,2024-12-04 09:16:02
99,99,0,审核中,100436,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-06-26 11:58:39,2025-06-26 16:29:39
100,100,1,,100128,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-01-23 17:16:57,2025-01-23 18:09:57
101,101,2,证件不通过,100216,100424,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-22 11:58:33,2025-08-22 16:42:33
102,102,0,审核中,100170,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-17 10:56:25,2025-09-17 13:10:25
103,103,1,,100082,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-17 01:31:54,2024-11-17 09:04:54
104,104,1,,100287,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-30 19:29:52,2024-12-30 19:39:52
105,105,2,证件不通过,100483,100452,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-13 08:19:47,2025-08-13 10:52:47
106,106,0,审核中,100427,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-01-03 09:45:27,2025-01-03 16:04:27
107,107,0,审核中,100075,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-12-14 14:57:09,2024-12-14 22:18:09
108,108,1,,100157,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-08-05 09:32:47,2025-08-05 15:46:47
109,109,2,证件不通过,100107,100349,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-09-18 22:02:31,2025-09-19 02:18:31
110,110,0,审核中,100181,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2024-11-02 07:19:36,2024-11-02 16:53:36
111,111,1,,100383,,"{""file"": ""redacted.png""}","{""src"": ""user_certification""}",2025-03-14 12:28:18,2025-03-14 15:07:18
