id,user_id,event_name,event_time,event_props,client_ip,device_id,ua
1,1,video_book,2025-08-02 14:01:13,"{""card_id"": 1942, ""stay_ms"": 1637}",127.0.0.1,bwu13e3dlg7a,Mozilla/5.0
2,1,date_create,2025-07-29 01:25:13,"{""card_id"": 861, ""stay_ms"": 9331}",127.0.0.1,vakdiaf02kln,Mozilla/5.0
3,1,video_book,2025-08-16 18:46:13,"{""card_id"": 459, ""stay_ms"": 17937}",127.0.0.1,j0n0hb8xbc2j,Mozilla/5.0
4,1,video_book,2025-08-09 11:16:13,"{""card_id"": 1526, ""stay_ms"": 7439}",127.0.0.1,knlcn3x0z2ra,Mozilla/5.0
5,1,view_card,2025-09-09 08:19:13,"{""card_id"": 843, ""stay_ms"": 10344}",127.0.0.1,edtewz9y3u33,Mozilla/5.0
6,1,view_card,2025-07-04 15:50:13,"{""card_id"": 769, ""stay_ms"": 5775}",127.0.0.1,c3crxwoa3q78,Mozilla/5.0
7,1,send_msg,2025-06-30 05:50:13,"{""card_id"": 1881, ""stay_ms"": 1353}",127.0.0.1,ay36df272x6o,Mozilla/5.0
8,2,view_card,2025-07-22 05:47:13,"{""card_id"": 386, ""stay_ms"": 6977}",127.0.0.1,zcs05zw0nss4,Mozilla/5.0
9,2,video_book,2025-07-13 18:45:13,"{""card_id"": 192, ""stay_ms"": 6703}",127.0.0.1,t53yukf1r54k,Mozilla/5.0
10,2,like,2025-08-19 19:20:13,"{""card_id"": 1536, ""stay_ms"": 10600}",127.0.0.1,n4tg8zc4bcdo,Mozilla/5.0
11,2,send_msg,2025-09-08 11:44:13,"{""card_id"": 690, ""stay_ms"": 17548}",127.0.0.1,9059qx97ni1w,Mozilla/5.0
12,2,reject,2025-07-13 23:50:13,"{""card_id"": 403, ""stay_ms"": 10797}",127.0.0.1,7lleyi87jscq,Mozilla/5.0
13,2,reject,2025-07-08 05:04:13,"{""card_id"": 517, ""stay_ms"": 11326}",127.0.0.1,c72hk1uitons,Mozilla/5.0
14,2,view_card,2025-09-01 13:28:13,"{""card_id"": 1421, ""stay_ms"": 10788}",127.0.0.1,0yur20c2e11c,Mozilla/5.0
15,2,report,2025-07-04 18:57:13,"{""card_id"": 1118, ""stay_ms"": 14240}",127.0.0.1,dnq1ocp2dcv0,Mozilla/5.0
16,3,video_book,2025-07-09 16:00:13,"{""card_id"": 1896, ""stay_ms"": 15620}",127.0.0.1,0lp4kt2orop4,Mozilla/5.0
17,3,like,2025-06-27 15:07:13,"{""card_id"": 996, ""stay_ms"": 5186}",127.0.0.1,wvmmtraspbrl,Mozilla/5.0
18,3,view_card,2025-07-13 07:16:13,"{""card_id"": 1629, ""stay_ms"": 12857}",127.0.0.1,x3drth4a8ucs,Mozilla/5.0
19,3,date_create,2025-07-16 14:13:13,"{""card_id"": 785, ""stay_ms"": 14888}",127.0.0.1,xwzhp96529ey,Mozilla/5.0
20,3,open_chat,2025-08-08 15:57:13,"{""card_id"": 442, ""stay_ms"": 19262}",127.0.0.1,scyk965vah1l,Mozilla/5.0
21,3,like,2025-07-21 07:28:13,"{""card_id"": 648, ""stay_ms"": 7013}",127.0.0.1,d2qxfokyzw9s,Mozilla/5.0
22,3,open_chat,2025-07-30 18:17:13,"{""card_id"": 440, ""stay_ms"": 16768}",127.0.0.1,42t790194or9,Mozilla/5.0
23,3,send_msg,2025-07-15 03:38:13,"{""card_id"": 177, ""stay_ms"": 1226}",127.0.0.1,sntazvw744c8,Mozilla/5.0
24,3,send_msg,2025-09-01 11:08:13,"{""card_id"": 645, ""stay_ms"": 10081}",127.0.0.1,mvzd10etl7hw,Mozilla/5.0
25,3,view_card,2025-07-30 03:35:13,"{""card_id"": 1066, ""stay_ms"": 15574}",127.0.0.1,exf93dk55y8a,Mozilla/5.0
26,3,open_chat,2025-08-28 18:30:13,"{""card_id"": 1169, ""stay_ms"": 17236}",127.0.0.1,8r9vycj8j9zt,Mozilla/5.0
27,4,view_card,2025-08-19 04:52:13,"{""card_id"": 202, ""stay_ms"": 17559}",127.0.0.1,3lhzea6izzzz,Mozilla/5.0
28,4,video_book,2025-08-21 22:33:13,"{""card_id"": 1841, ""stay_ms"": 1276}",127.0.0.1,339d0mac7trq,Mozilla/5.0
29,4,video_book,2025-07-13 14:24:13,"{""card_id"": 1654, ""stay_ms"": 1688}",127.0.0.1,yw0snx09df4v,Mozilla/5.0
30,4,video_book,2025-08-26 19:26:13,"{""card_id"": 425, ""stay_ms"": 16354}",127.0.0.1,n74g9n7qz6gw,Mozilla/5.0
31,4,view_card,2025-09-10 10:17:13,"{""card_id"": 44, ""stay_ms"": 11795}",127.0.0.1,suuh2vph5p0h,Mozilla/5.0
32,4,reject,2025-09-06 10:31:13,"{""card_id"": 1515, ""stay_ms"": 7720}",127.0.0.1,rbbe1v94y7x2,Mozilla/5.0
33,4,open_chat,2025-07-27 06:32:13,"{""card_id"": 967, ""stay_ms"": 1268}",127.0.0.1,vnryrxkywnyr,Mozilla/5.0
34,4,open_profile,2025-07-23 09:12:13,"{""card_id"": 949, ""stay_ms"": 19792}",127.0.0.1,jv7f7uq157ly,Mozilla/5.0
35,4,view_card,2025-07-20 07:18:13,"{""card_id"": 634, ""stay_ms"": 12270}",127.0.0.1,1d72t7ilp0e6,Mozilla/5.0
36,4,open_profile,2025-09-08 17:34:13,"{""card_id"": 385, ""stay_ms"": 16723}",127.0.0.1,vo2nasarxzfi,Mozilla/5.0
37,5,open_chat,2025-07-30 16:38:13,"{""card_id"": 1587, ""stay_ms"": 12561}",127.0.0.1,02g334ekpqx8,Mozilla/5.0
38,5,open_profile,2025-07-30 05:06:13,"{""card_id"": 730, ""stay_ms"": 7572}",127.0.0.1,1c0mk5n9s7ce,Mozilla/5.0
39,5,report,2025-09-09 06:23:13,"{""card_id"": 494, ""stay_ms"": 6703}",127.0.0.1,zpvw5ai693kg,Mozilla/5.0
40,5,date_create,2025-08-20 14:04:13,"{""card_id"": 654, ""stay_ms"": 18498}",127.0.0.1,1xvmeveb5ph1,Mozilla/5.0
41,5,like,2025-09-08 19:58:13,"{""card_id"": 950, ""stay_ms"": 5956}",127.0.0.1,nn35ber6stnx,Mozilla/5.0
42,5,date_create,2025-09-08 16:26:13,"{""card_id"": 861, ""stay_ms"": 4328}",127.0.0.1,9keux925ngkq,Mozilla/5.0
43,5,open_profile,2025-07-11 15:05:13,"{""card_id"": 1823, ""stay_ms"": 1900}",127.0.0.1,pttcmlu1mqdx,Mozilla/5.0
44,6,date_create,2025-07-06 21:29:13,"{""card_id"": 1476, ""stay_ms"": 5264}",127.0.0.1,1uw41x15adl5,Mozilla/5.0
45,6,date_create,2025-07-18 02:33:13,"{""card_id"": 1656, ""stay_ms"": 4847}",127.0.0.1,7hnnb7sncpi6,Mozilla/5.0
46,6,send_msg,2025-07-23 01:42:13,"{""card_id"": 1790, ""stay_ms"": 10217}",127.0.0.1,axqgsekhxndd,Mozilla/5.0
47,6,send_msg,2025-06-26 00:20:13,"{""card_id"": 812, ""stay_ms"": 4107}",127.0.0.1,4r8cxm4fvz71,Mozilla/5.0
48,6,view_card,2025-07-18 20:05:13,"{""card_id"": 703, ""stay_ms"": 1435}",127.0.0.1,k5v9bnv2so6d,Mozilla/5.0
49,6,reject,2025-07-19 00:43:13,"{""card_id"": 1465, ""stay_ms"": 14087}",127.0.0.1,n4m7n923ia2n,Mozilla/5.0
50,6,reject,2025-09-12 04:58:13,"{""card_id"": 1654, ""stay_ms"": 12391}",127.0.0.1,ecjljfvfsp68,Mozilla/5.0
51,6,video_book,2025-07-28 08:51:13,"{""card_id"": 1023, ""stay_ms"": 17067}",127.0.0.1,nld0z5ktizjl,Mozilla/5.0
52,6,send_msg,2025-09-07 18:35:13,"{""card_id"": 60, ""stay_ms"": 11716}",127.0.0.1,6ybig0pe9xy0,Mozilla/5.0
53,7,video_book,2025-07-23 07:08:13,"{""card_id"": 1539, ""stay_ms"": 4266}",127.0.0.1,y8n8u0989krl,Mozilla/5.0
54,7,open_chat,2025-07-11 13:00:13,"{""card_id"": 1051, ""stay_ms"": 16642}",127.0.0.1,2h3ynaxdzweu,Mozilla/5.0
55,7,open_chat,2025-08-27 21:22:13,"{""card_id"": 1308, ""stay_ms"": 3385}",127.0.0.1,pyv6n8qulx8g,Mozilla/5.0
56,7,video_book,2025-07-07 10:05:13,"{""card_id"": 1030, ""stay_ms"": 17835}",127.0.0.1,bg83k3a0nb2l,Mozilla/5.0
57,7,reject,2025-06-16 20:05:13,"{""card_id"": 160, ""stay_ms"": 19762}",127.0.0.1,1gc5gte157su,Mozilla/5.0
