id,user_id,visibility_scope,contact_sharing,org_block_enabled,phonebook_block_enabled,location_precision,data_export_requested,deletion_requested,created_at,updated_at
1,1,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-06 09:27:13,2025-09-06 09:27:13
2,2,matched,double_confirm,1,1,city,0,0,2025-08-09 09:27:13,2025-08-09 09:27:13
3,3,matched,double_confirm,1,1,city,0,0,2025-08-29 09:27:13,2025-08-29 09:27:13
4,4,public,double_confirm,1,1,city,0,0,2025-07-18 09:27:13,2025-07-18 09:27:13
5,5,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-07 09:27:13,2025-07-07 09:27:13
6,6,matched,double_confirm,1,1,city,0,0,2025-08-04 09:27:13,2025-08-04 09:27:13
7,7,public,double_confirm,1,1,city,0,0,2025-08-17 09:27:13,2025-08-17 09:27:13
8,8,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-06 09:27:13,2025-08-06 09:27:13
9,9,public,double_confirm,1,1,city,0,0,2025-08-21 09:27:13,2025-08-21 09:27:13
10,10,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-21 09:27:13,2025-07-21 09:27:13
11,11,matched,double_confirm,1,1,city,0,0,2025-06-28 09:27:13,2025-06-28 09:27:13
12,12,matched,double_confirm,1,1,city,0,0,2025-07-22 09:27:13,2025-07-22 09:27:13
13,13,public,double_confirm,1,1,city,0,0,2025-08-27 09:27:13,2025-08-27 09:27:13
14,14,public,double_confirm,1,1,city,0,0,2025-06-16 09:27:13,2025-06-16 09:27:13
15,15,public,double_confirm,1,1,city,0,0,2025-07-06 09:27:13,2025-07-06 09:27:13
16,16,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-13 09:27:13,2025-09-13 09:27:13
17,17,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-15 09:27:13,2025-07-15 09:27:13
18,18,public,double_confirm,1,1,city,0,0,2025-08-29 09:27:13,2025-08-29 09:27:13
19,19,matched,double_confirm,1,1,city,0,0,2025-06-17 09:27:13,2025-06-17 09:27:13
20,20,public,double_confirm,1,1,city,0,0,2025-08-25 09:27:13,2025-08-25 09:27:13
21,21,matched,double_confirm,1,1,city,0,0,2025-08-06 09:27:13,2025-08-06 09:27:13
22,22,public,double_confirm,1,1,city,0,0,2025-06-16 09:27:13,2025-06-16 09:27:13
23,23,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-15 09:27:13,2025-08-15 09:27:13
24,24,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-27 09:27:13,2025-07-27 09:27:13
25,25,public,double_confirm,1,1,city,0,0,2025-07-31 09:27:13,2025-07-31 09:27:13
26,26,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-03 09:27:13,2025-07-03 09:27:13
27,27,public,double_confirm,1,1,city,0,0,2025-08-12 09:27:13,2025-08-12 09:27:13
28,28,public,double_confirm,1,1,city,0,0,2025-07-30 09:27:13,2025-07-30 09:27:13
29,29,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-10 09:27:13,2025-09-10 09:27:13
30,30,public,double_confirm,1,1,city,0,0,2025-07-05 09:27:13,2025-07-05 09:27:13
31,31,public,double_confirm,1,1,city,0,0,2025-07-20 09:27:13,2025-07-20 09:27:13
32,32,matched,double_confirm,1,1,city,0,0,2025-06-24 09:27:13,2025-06-24 09:27:13
33,33,public,double_confirm,1,1,city,0,0,2025-09-09 09:27:13,2025-09-09 09:27:13
34,34,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-13 09:27:13,2025-08-13 09:27:13
35,35,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-30 09:27:13,2025-08-30 09:27:13
36,36,matched,double_confirm,1,1,city,0,0,2025-07-01 09:27:13,2025-07-01 09:27:13
37,37,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-09 09:27:13,2025-08-09 09:27:13
38,38,public,double_confirm,1,1,city,0,0,2025-06-21 09:27:13,2025-06-21 09:27:13
39,39,matched,double_confirm,1,1,city,0,0,2025-06-29 09:27:13,2025-06-29 09:27:13
40,40,matched,double_confirm,1,1,city,0,0,2025-08-19 09:27:13,2025-08-19 09:27:13
41,41,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-29 09:27:13,2025-06-29 09:27:13
42,42,matched,double_confirm,1,1,city,0,0,2025-06-23 09:27:13,2025-06-23 09:27:13
43,43,matched,double_confirm,1,1,city,0,0,2025-07-27 09:27:13,2025-07-27 09:27:13
44,44,matched,double_confirm,1,1,city,0,0,2025-09-14 09:27:13,2025-09-14 09:27:13
45,45,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-17 09:27:13,2025-07-17 09:27:13
46,46,public,double_confirm,1,1,city,0,0,2025-07-04 09:27:13,2025-07-04 09:27:13
47,47,matched,double_confirm,1,1,city,0,0,2025-08-28 09:27:13,2025-08-28 09:27:13
48,48,matched,double_confirm,1,1,city,0,0,2025-09-02 09:27:13,2025-09-02 09:27:13
49,49,matched,double_confirm,1,1,city,0,0,2025-06-19 09:27:13,2025-06-19 09:27:13
50,50,public,double_confirm,1,1,city,0,0,2025-06-22 09:27:13,2025-06-22 09:27:13
51,51,public,double_confirm,1,1,city,0,0,2025-07-15 09:27:13,2025-07-15 09:27:13
52,52,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-20 09:27:13,2025-07-20 09:27:13
53,53,public,double_confirm,1,1,city,0,0,2025-07-02 09:27:13,2025-07-02 09:27:13
54,54,public,double_confirm,1,1,city,0,0,2025-09-01 09:27:13,2025-09-01 09:27:13
55,55,matched,double_confirm,1,1,city,0,0,2025-06-22 09:27:13,2025-06-22 09:27:13
56,56,public,double_confirm,1,1,city,0,0,2025-09-01 09:27:13,2025-09-01 09:27:13
57,57,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-14 09:27:13,2025-07-14 09:27:13
58,58,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-30 09:27:13,2025-06-30 09:27:13
59,59,matched,double_confirm,1,1,city,0,0,2025-07-07 09:27:13,2025-07-07 09:27:13
60,60,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-16 09:27:13,2025-08-16 09:27:13
61,61,matched,double_confirm,1,1,city,0,0,2025-08-14 09:27:13,2025-08-14 09:27:13
62,62,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-06 09:27:13,2025-07-06 09:27:13
63,63,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-07 09:27:13,2025-09-07 09:27:13
64,64,public,double_confirm,1,1,city,0,0,2025-06-16 09:27:13,2025-06-16 09:27:13
65,65,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-31 09:27:13,2025-07-31 09:27:13
66,66,matched,double_confirm,1,1,city,0,0,2025-08-31 09:27:13,2025-08-31 09:27:13
67,67,matched,double_confirm,1,1,city,0,0,2025-07-08 09:27:13,2025-07-08 09:27:13
68,68,public,double_confirm,1,1,city,0,0,2025-06-27 09:27:13,2025-06-27 09:27:13
69,69,public,double_confirm,1,1,city,0,0,2025-08-28 09:27:13,2025-08-28 09:27:13
70,70,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-21 09:27:13,2025-07-21 09:27:13
71,71,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-01 09:27:13,2025-08-01 09:27:13
72,72,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-10 09:27:13,2025-07-10 09:27:13
73,73,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-10 09:27:13,2025-07-10 09:27:13
74,74,public,double_confirm,1,1,city,0,0,2025-08-25 09:27:13,2025-08-25 09:27:13
75,75,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-07 09:27:13,2025-08-07 09:27:13
76,76,public,double_confirm,1,1,city,0,0,2025-08-27 09:27:13,2025-08-27 09:27:13
77,77,public,double_confirm,1,1,city,0,0,2025-09-05 09:27:13,2025-09-05 09:27:13
78,78,matched,double_confirm,1,1,city,0,0,2025-08-23 09:27:13,2025-08-23 09:27:13
79,79,matched,double_confirm,1,1,city,0,0,2025-08-01 09:27:13,2025-08-01 09:27:13
80,80,public,double_confirm,1,1,city,0,0,2025-08-31 09:27:13,2025-08-31 09:27:13
81,81,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-08 09:27:13,2025-07-08 09:27:13
82,82,public,double_confirm,1,1,city,0,0,2025-06-23 09:27:13,2025-06-23 09:27:13
83,83,matched,double_confirm,1,1,city,0,0,2025-08-27 09:27:13,2025-08-27 09:27:13
84,84,matched,double_confirm,1,1,city,0,0,2025-07-22 09:27:13,2025-07-22 09:27:13
85,85,matched,double_confirm,1,1,city,0,0,2025-08-21 09:27:13,2025-08-21 09:27:13
86,86,public,double_confirm,1,1,city,0,0,2025-09-12 09:27:13,2025-09-12 09:27:13
87,87,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-02 09:27:13,2025-09-02 09:27:13
88,88,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-19 09:27:13,2025-07-19 09:27:13
89,89,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-09 09:27:13,2025-07-09 09:27:13
90,90,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-21 09:27:13,2025-08-21 09:27:13
91,91,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-17 09:27:13,2025-08-17 09:27:13
92,92,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-04 09:27:13,2025-08-04 09:27:13
93,93,matched,double_confirm,1,1,city,0,0,2025-07-09 09:27:13,2025-07-09 09:27:13
94,94,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-02 09:27:13,2025-07-02 09:27:13
95,95,matched,double_confirm,1,1,city,0,0,2025-06-29 09:27:13,2025-06-29 09:27:13
96,96,public,double_confirm,1,1,city,0,0,2025-06-17 09:27:13,2025-06-17 09:27:13
97,97,matched,double_confirm,1,1,city,0,0,2025-07-31 09:27:13,2025-07-31 09:27:13
98,98,matched,double_confirm,1,1,city,0,0,2025-07-29 09:27:13,2025-07-29 09:27:13
99,99,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-05 09:27:13,2025-08-05 09:27:13
100,100,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-27 09:27:13,2025-06-27 09:27:13
101,101,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-17 09:27:13,2025-06-17 09:27:13
102,102,matched,double_confirm,1,1,city,0,0,2025-07-14 09:27:13,2025-07-14 09:27:13
103,103,public,double_confirm,1,1,city,0,0,2025-06-22 09:27:13,2025-06-22 09:27:13
104,104,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-13 09:27:13,2025-08-13 09:27:13
105,105,public,double_confirm,1,1,city,0,0,2025-07-30 09:27:13,2025-07-30 09:27:13
106,106,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-23 09:27:13,2025-07-23 09:27:13
107,107,matched,double_confirm,1,1,city,0,0,2025-07-16 09:27:13,2025-07-16 09:27:13
108,108,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-06 09:27:13,2025-08-06 09:27:13
109,109,matched,double_confirm,1,1,city,0,0,2025-07-25 09:27:13,2025-07-25 09:27:13
110,110,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-10 09:27:13,2025-09-10 09:27:13
111,111,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-08 09:27:13,2025-09-08 09:27:13
112,112,public,double_confirm,1,1,city,0,0,2025-09-14 09:27:13,2025-09-14 09:27:13
113,113,public,double_confirm,1,1,city,0,0,2025-08-29 09:27:13,2025-08-29 09:27:13
114,114,matched,double_confirm,1,1,city,0,0,2025-08-26 09:27:13,2025-08-26 09:27:13
115,115,matched,double_confirm,1,1,city,0,0,2025-08-22 09:27:13,2025-08-22 09:27:13
116,116,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-09 09:27:13,2025-09-09 09:27:13
117,117,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-06 09:27:13,2025-09-06 09:27:13
118,118,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-20 09:27:13,2025-07-20 09:27:13
119,119,public,double_confirm,1,1,city,0,0,2025-08-16 09:27:13,2025-08-16 09:27:13
120,120,public,double_confirm,1,1,city,0,0,2025-08-20 09:27:13,2025-08-20 09:27:13
121,121,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-03 09:27:13,2025-07-03 09:27:13
122,122,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-01 09:27:13,2025-08-01 09:27:13
123,123,public,double_confirm,1,1,city,0,0,2025-07-12 09:27:13,2025-07-12 09:27:13
124,124,public,double_confirm,1,1,city,0,0,2025-07-02 09:27:13,2025-07-02 09:27:13
