id,user_id,activity_id,status,group_no,liked_user_ids,review,created_at
1,1603,4,approved,,[],活动很棒,2025-07-10 11:04:02
2,1266,5,rejected,B,"[950, 1406]",,2025-08-31 11:04:02
3,1696,6,rejected,,"[1572, 1728, 1243]",,2025-08-30 11:04:02
4,1162,6,absent,B,"[460, 1728]",组织有序,2025-08-01 11:04:02
5,188,10,absent,A,[],氛围不错,2025-06-19 11:04:02
6,740,9,rejected,,[234],,2025-07-27 11:04:02
7,937,6,absent,B,[1921],组织有序,2025-08-06 11:04:02
8,282,6,rejected,,"[910, 254, 2]",,2025-07-20 11:04:02
9,720,6,rejected,,"[935, 289, 577]",,2025-08-17 11:04:02
10,975,1,checked_in,B,"[1594, 1772]",活动很棒,2025-08-12 11:04:02
11,753,2,checked_in,C,[],组织有序,2025-06-16 11:04:02
12,710,6,absent,A,"[1023, 556, 791]",活动很棒,2025-06-26 11:04:02
13,607,3,approved,C,[],氛围不错,2025-08-22 11:04:02
14,341,2,absent,C,[946],组织有序,2025-08-29 11:04:02
15,604,9,approved,A,"[1007, 1733]",组织有序,2025-08-10 11:04:02
16,1095,10,checked_in,B,[],组织有序,2025-09-09 11:04:02
17,181,3,absent,A,[338],组织有序,2025-08-01 11:04:02
18,451,4,absent,B,"[124, 1927]",,2025-09-06 11:04:02
19,463,2,rejected,C,"[1684, 1732]",,2025-07-31 11:04:02
20,1308,1,absent,C,[1877],氛围不错,2025-06-13 11:04:02
21,1690,1,checked_in,C,[1863],活动很棒,2025-07-22 11:04:02
22,1636,5,applied,C,"[1569, 1094, 1186]",氛围不错,2025-09-08 11:04:02
23,1467,7,rejected,B,"[751, 502, 1029]",组织有序,2025-07-14 11:04:02
24,1205,1,rejected,,[],氛围不错,2025-09-03 11:04:02
25,1492,10,applied,C,[896],组织有序,2025-07-07 11:04:02
26,889,8,approved,A,"[1717, 272]",氛围不错,2025-07-19 11:04:02
27,619,5,approved,B,[68],,2025-08-17 11:04:02
28,390,4,rejected,B,"[1016, 1769, 111]",活动很棒,2025-07-06 11:04:02
29,1373,6,applied,A,"[567, 1138]",组织有序,2025-06-23 11:04:02
30,775,3,rejected,,"[1973, 1762]",氛围不错,2025-06-22 11:04:02
31,680,2,checked_in,B,[],,2025-07-10 11:04:02
32,806,10,absent,,[],,2025-06-11 11:04:02
33,1867,7,absent,C,"[84, 1351, 495]",,2025-08-03 11:04:02
34,544,2,absent,B,"[306, 1812, 1593]",活动很棒,2025-06-27 11:04:02
35,1076,5,checked_in,B,"[1185, 1325]",氛围不错,2025-07-13 11:04:02
36,664,7,checked_in,A,[],,2025-06-17 11:04:02
37,749,6,rejected,C,"[1473, 989, 371]",,2025-06-12 11:04:02
38,287,10,checked_in,,"[801, 1594, 1122]",组织有序,2025-07-26 11:04:02
39,719,2,applied,B,[],组织有序,2025-07-23 11:04:02
40,1043,9,absent,A,[],组织有序,2025-08-15 11:04:02
41,214,9,checked_in,B,"[1554, 97]",,2025-08-05 11:04:02
42,369,4,approved,,"[55, 1747]",组织有序,2025-08-12 11:04:02
43,1350,7,applied,,"[454, 1542, 457]",组织有序,2025-06-12 11:04:02
44,1033,10,absent,A,"[884, 323, 389]",活动很棒,2025-08-13 11:04:02
45,264,7,absent,,[1949],,2025-08-10 11:04:02
46,1588,10,checked_in,,"[26, 295, 1908]",活动很棒,2025-06-18 11:04:02
47,1949,5,checked_in,B,"[1383, 1639, 1745]",活动很棒,2025-07-27 11:04:02
48,285,9,checked_in,B,[1315],氛围不错,2025-08-10 11:04:02
49,543,9,applied,C,[928],活动很棒,2025-06-28 11:04:02
50,209,3,applied,B,"[1325, 1596, 1624]",氛围不错,2025-09-01 11:04:02
51,244,7,checked_in,,"[38, 1271]",,2025-08-11 11:04:02
52,1712,1,absent,,"[1995, 1314]",活动很棒,2025-07-23 11:04:02
53,1864,5,absent,A,"[170, 1479, 644]",氛围不错,2025-06-28 11:04:02
54,772,9,rejected,B,[],氛围不错,2025-07-06 11:04:02
55,622,2,checked_in,,"[604, 1140, 1127]",活动很棒,2025-08-21 11:04:02
56,273,5,applied,,"[1802, 1112, 1610]",组织有序,2025-07-13 11:04:02
57,561,5,checked_in,C,[1747],活动很棒,2025-08-28 11:04:02
58,897,8,approved,,"[1188, 1220, 322]",活动很棒,2025-08-01 11:04:02
59,970,1,applied,,[],氛围不错,2025-06-26 11:04:02
60,1886,8,applied,A,[1384],组织有序,2025-08-23 11:04:02
61,1508,7,approved,C,[],,2025-07-23 11:04:02
62,1767,5,rejected,B,"[1717, 1039, 1373]",氛围不错,2025-08-16 11:04:02
63,1729,8,approved,,"[1137, 1327, 1698]",,2025-07-26 11:04:02
64,1540,1,applied,B,"[414, 440, 993]",,2025-07-19 11:04:02
65,502,6,approved,C,"[1734, 1209, 753]",,2025-06-12 11:04:02
66,1863,5,approved,C,[704],组织有序,2025-06-13 11:04:02
67,766,3,rejected,B,"[1998, 1207]",,2025-07-23 11:04:02
68,72,5,approved,B,[811],,2025-08-31 11:04:02
69,1969,1,approved,,"[1567, 1806, 1920]",活动很棒,2025-07-09 11:04:02
70,1555,10,applied,B,[733],,2025-08-16 11:04:02
71,1294,4,rejected,,"[1996, 429, 259]",组织有序,2025-08-16 11:04:02
72,531,1,checked_in,C,[600],活动很棒,2025-09-02 11:04:02
73,941,2,rejected,A,"[904, 1682, 599]",,2025-07-20 11:04:02
74,1720,10,checked_in,C,[1271],活动很棒,2025-07-09 11:04:02
75,1345,1,rejected,A,[],组织有序,2025-09-08 11:04:02
76,493,9,checked_in,B,[],氛围不错,2025-06-11 11:04:02
77,1290,8,absent,A,[1270],活动很棒,2025-06-20 11:04:02
78,904,3,absent,B,"[451, 1800]",氛围不错,2025-08-07 11:04:02
79,1102,1,rejected,B,[],,2025-06-15 11:04:02
80,320,3,applied,,[],,2025-07-28 11:04:02
81,2000,4,applied,B,"[1840, 364, 590]",,2025-06-15 11:04:02
82,224,9,checked_in,A,[866],活动很棒,2025-06-11 11:04:02
83,459,10,checked_in,C,[],,2025-07-12 11:04:02
84,946,3,absent,,"[214, 573, 1836]",活动很棒,2025-09-01 11:04:02
85,411,1,approved,B,"[221, 1010, 689]",组织有序,2025-09-03 11:04:02
86,934,10,absent,C,[],氛围不错,2025-08-24 11:04:02
87,6,8,approved,C,"[895, 961]",,2025-08-25 11:04:02
88,288,4,applied,B,"[1986, 1905, 644]",活动很棒,2025-06-20 11:04:02
89,931,4,applied,,"[1319, 340]",组织有序,2025-08-28 11:04:02
90,476,4,absent,B,"[1338, 1467]",氛围不错,2025-06-19 11:04:02
91,1651,9,absent,A,[],氛围不错,2025-06-23 11:04:02
92,1984,7,approved,,"[1733, 1235, 787]",氛围不错,2025-09-05 11:04:02
