id,user_id,event_name,event_time,event_props,client_ip,device_id,ua
1,1,reject,2025-06-13 18:20:02,"{""card_id"": 375, ""stay_ms"": 17244}",127.0.0.1,qoigpt5tphc0,Mozilla/5.0
2,1,like,2025-06-29 21:48:02,"{""card_id"": 100, ""stay_ms"": 7182}",127.0.0.1,zeaprbsrnwal,Mozilla/5.0
3,1,send_msg,2025-07-27 16:11:02,"{""card_id"": 428, ""stay_ms"": 14805}",127.0.0.1,25lf845l6vr2,Mozilla/5.0
4,1,like,2025-06-17 15:31:02,"{""card_id"": 1855, ""stay_ms"": 1504}",127.0.0.1,lb1djamdxaho,Mozilla/5.0
5,1,video_book,2025-07-26 10:40:02,"{""card_id"": 877, ""stay_ms"": 4013}",127.0.0.1,2u3nqdzs3vwc,Mozilla/5.0
6,1,report,2025-06-15 12:35:02,"{""card_id"": 1054, ""stay_ms"": 17307}",127.0.0.1,m4nmzbw0j9up,Mozilla/5.0
7,1,send_msg,2025-08-16 16:42:02,"{""card_id"": 254, ""stay_ms"": 12196}",127.0.0.1,cjp24dkgk0zs,Mozilla/5.0
8,1,report,2025-06-15 05:04:02,"{""card_id"": 772, ""stay_ms"": 5922}",127.0.0.1,e0gjud9sskdu,Mozilla/5.0
9,2,like,2025-08-11 13:16:02,"{""card_id"": 60, ""stay_ms"": 14761}",127.0.0.1,w6vxjpr9nwg4,Mozilla/5.0
10,2,open_chat,2025-06-30 07:29:02,"{""card_id"": 400, ""stay_ms"": 7947}",127.0.0.1,379wpd2ncuom,Mozilla/5.0
11,2,reject,2025-07-17 01:48:02,"{""card_id"": 1317, ""stay_ms"": 16101}",127.0.0.1,kn38tob9ejyz,Mozilla/5.0
12,2,video_book,2025-07-03 08:50:02,"{""card_id"": 1340, ""stay_ms"": 2950}",127.0.0.1,67kjkitc9w21,Mozilla/5.0
13,2,like,2025-07-28 06:08:02,"{""card_id"": 1529, ""stay_ms"": 9054}",127.0.0.1,mkdix7m4rpj9,Mozilla/5.0
14,2,open_profile,2025-08-19 17:58:02,"{""card_id"": 706, ""stay_ms"": 16442}",127.0.0.1,ym3kljmspxu0,Mozilla/5.0
15,2,video_book,2025-07-28 21:36:02,"{""card_id"": 1818, ""stay_ms"": 15411}",127.0.0.1,n17rvqe0vm41,Mozilla/5.0
16,2,date_create,2025-07-11 21:17:02,"{""card_id"": 1587, ""stay_ms"": 3033}",127.0.0.1,ux36oahmfpfv,Mozilla/5.0
17,2,open_chat,2025-08-02 07:55:02,"{""card_id"": 1855, ""stay_ms"": 5118}",127.0.0.1,j53xuf5p6qfd,Mozilla/5.0
18,2,view_card,2025-09-07 02:50:02,"{""card_id"": 301, ""stay_ms"": 1748}",127.0.0.1,ywxo7ov404w7,Mozilla/5.0
19,2,view_card,2025-08-10 00:38:02,"{""card_id"": 1219, ""stay_ms"": 13858}",127.0.0.1,y5vr9e4a9wvw,Mozilla/5.0
20,3,date_create,2025-07-25 23:36:02,"{""card_id"": 1888, ""stay_ms"": 2975}",127.0.0.1,zwzzfyjpv5gp,Mozilla/5.0
21,3,view_card,2025-08-11 04:32:02,"{""card_id"": 1896, ""stay_ms"": 9495}",127.0.0.1,yu71it2g80tb,Mozilla/5.0
22,3,send_msg,2025-09-01 03:48:02,"{""card_id"": 696, ""stay_ms"": 17674}",127.0.0.1,3htx200a8hwl,Mozilla/5.0
