id,user_id,cert_type,status,doc_meta,reviewed_by,reviewed_at,created_at,updated_at
1,1,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-19 11:04:02,2025-06-19 11:04:02
2,1,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-08-14 11:04:02,2025-08-14 11:04:02
3,2,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-22 11:04:02,2025-06-22 11:04:02
4,2,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-24 11:04:02,2025-07-24 11:04:02
5,3,identity,approved,"{""file"": ""redacted.png""}",,,,2025-08-01 11:04:02,2025-08-01 11:04:02
6,3,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-25 11:04:02,2025-07-25 11:04:02
7,3,education,pending,"{""meta"": ""ocr""}",,,,2025-07-11 11:04:02,2025-07-11 11:04:02
8,4,identity,pending,"{""file"": ""redacted.png""}",,,,2025-08-06 11:04:02,2025-08-06 11:04:02
9,4,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-06-26 11:04:02,2025-06-26 11:04:02
10,5,identity,approved,"{""file"": ""redacted.png""}",,,,2025-09-01 11:04:02,2025-09-01 11:04:02
11,5,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-01 11:04:02,2025-07-01 11:04:02
12,6,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-26 11:04:02,2025-06-26 11:04:02
13,6,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-28 11:04:02,2025-07-28 11:04:02
14,7,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-28 11:04:02,2025-06-28 11:04:02
15,7,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-08-01 11:04:02,2025-08-01 11:04:02
16,8,identity,approved,"{""file"": ""redacted.png""}",,,,2025-09-06 11:04:02,2025-09-06 11:04:02
17,8,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-08-07 11:04:02,2025-08-07 11:04:02
18,9,identity,approved,"{""file"": ""redacted.png""}",,,,2025-08-10 11:04:02,2025-08-10 11:04:02
19,9,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-17 11:04:02,2025-07-17 11:04:02
20,10,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-25 11:04:02,2025-06-25 11:04:02
21,10,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-06-13 11:04:02,2025-06-13 11:04:02
22,10,income,approved,"{""meta"": ""ocr""}",,,,2025-06-19 11:04:02,2025-06-19 11:04:02
23,11,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-27 11:04:02,2025-06-27 11:04:02
24,11,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-14 11:04:02,2025-07-14 11:04:02
25,12,identity,pending,"{""file"": ""redacted.png""}",,,,2025-07-05 11:04:02,2025-07-05 11:04:02
26,12,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-21 11:04:02,2025-07-21 11:04:02
27,13,identity,pending,"{""file"": ""redacted.png""}",,,,2025-07-21 11:04:02,2025-07-21 11:04:02
28,13,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-05 11:04:02,2025-07-05 11:04:02
29,14,identity,pending,"{""file"": ""redacted.png""}",,,,2025-07-03 11:04:02,2025-07-03 11:04:02
30,14,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-18 11:04:02,2025-07-18 11:04:02
31,14,income,approved,"{""meta"": ""ocr""}",,,,2025-07-22 11:04:02,2025-07-22 11:04:02
32,15,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-23 11:04:02,2025-06-23 11:04:02
33,15,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-06-26 11:04:02,2025-06-26 11:04:02
34,16,identity,pending,"{""file"": ""redacted.png""}",,,,2025-08-24 11:04:02,2025-08-24 11:04:02
35,16,photo_liveness,pending,"{""file"": ""redacted.png""}",,,,2025-07-05 11:04:02,2025-07-05 11:04:02
36,17,identity,pending,"{""file"": ""redacted.png""}",,,,2025-08-01 11:04:02,2025-08-01 11:04:02
37,17,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-15 11:04:02,2025-07-15 11:04:02
38,17,income,rejected,"{""meta"": ""ocr""}",,,,2025-08-17 11:04:02,2025-08-17 11:04:02
39,18,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-16 11:04:02,2025-06-16 11:04:02
40,18,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-06 11:04:02,2025-07-06 11:04:02
41,19,identity,approved,"{""file"": ""redacted.png""}",,,,2025-07-04 11:04:02,2025-07-04 11:04:02
42,19,photo_liveness,pending,"{""file"": ""redacted.png""}",,,,2025-08-16 11:04:02,2025-08-16 11:04:02
43,19,income,rejected,"{""meta"": ""ocr""}",,,,2025-08-05 11:04:02,2025-08-05 11:04:02
