id,user_id,counterpart_id,type,start_at,place,note,created_at
1,641,19,date,2025-07-23 14:10:02,商场中庭,初次见面,2025-07-23 13:34:02
2,851,60,date,2025-08-30 19:15:02,星巴克,初次见面,2025-08-30 19:03:02
3,83,721,video,2025-08-07 09:37:02,,视频速配,2025-08-07 09:28:02
4,1477,88,date,2025-08-30 18:23:02,Manner Coffee,初次见面,2025-08-30 18:17:02
5,959,122,video,2025-09-10 18:29:02,,视频速配,2025-09-10 18:25:02
6,207,1999,date,2025-08-05 19:13:02,星巴克,初次见面,2025-08-05 18:41:02
7,1999,207,video,2025-08-06 17:40:02,,视频速配,2025-08-06 16:55:02
8,1208,211,video,2025-07-18 16:51:02,,视频速配,2025-07-18 16:48:02
9,217,1246,date,2025-09-01 03:05:02,万达广场,初次见面,2025-09-01 02:53:02
10,250,1136,date,2025-09-07 12:17:02,Manner Coffee,初次见面,2025-09-07 11:33:02
11,266,746,video,2025-07-31 11:14:02,,视频速配,2025-07-31 10:59:02
12,266,746,video,2025-08-01 09:25:02,,视频速配,2025-08-01 08:30:02
13,278,415,date,2025-07-28 13:23:02,Manner Coffee,初次见面,2025-07-28 12:46:02
14,415,278,date,2025-07-28 20:07:02,商场中庭,初次见面,2025-07-28 19:34:02
15,292,817,date,2025-08-24 22:26:02,星巴克,初次见面,2025-08-24 21:26:02
16,817,292,date,2025-08-25 18:16:02,博物馆,初次见面,2025-08-25 17:23:02
17,297,712,date,2025-09-07 22:10:02,博物馆,初次见面,2025-09-07 21:12:02
18,691,299,date,2025-08-25 20:13:02,星巴克,初次见面,2025-08-25 19:56:02
19,1139,319,video,2025-07-15 05:19:02,,视频速配,2025-07-15 04:57:02
20,319,1139,date,2025-07-15 09:50:02,万达广场,初次见面,2025-07-15 09:18:02
21,1084,357,date,2025-07-25 12:31:02,博物馆,初次见面,2025-07-25 12:07:02
22,664,358,video,2025-08-09 05:12:02,,视频速配,2025-08-09 04:55:02
23,358,664,video,2025-08-10 03:19:02,,视频速配,2025-08-10 02:40:02
24,364,1462,date,2025-08-20 19:08:02,星巴克,初次见面,2025-08-20 19:07:02
25,444,368,date,2025-09-06 02:27:02,博物馆,初次见面,2025-09-06 02:26:02
26,394,417,video,2025-07-28 20:16:02,,视频速配,2025-07-28 20:07:02
27,394,417,video,2025-07-29 02:36:02,,视频速配,2025-07-29 02:04:02
28,458,1152,video,2025-08-27 04:00:02,,视频速配,2025-08-27 03:22:02
29,458,1152,date,2025-08-27 14:03:02,星巴克,初次见面,2025-08-27 13:50:02
30,464,719,video,2025-07-13 19:19:02,,视频速配,2025-07-13 18:57:02
31,1398,499,video,2025-07-24 22:01:02,,视频速配,2025-07-24 21:13:02
32,1879,507,date,2025-08-28 05:10:02,商场中庭,初次见面,2025-08-28 04:42:02
33,561,855,date,2025-07-16 13:25:02,万达广场,初次见面,2025-07-16 12:51:02
34,855,561,date,2025-07-16 23:52:02,Manner Coffee,初次见面,2025-07-16 23:24:02
35,1430,601,date,2025-07-22 23:08:02,万达广场,初次见面,2025-07-22 22:09:02
36,1430,601,date,2025-07-23 15:49:02,星巴克,初次见面,2025-07-23 15:02:02
37,657,1864,video,2025-07-14 05:22:02,,视频速配,2025-07-14 04:57:02
38,1397,735,video,2025-07-21 18:59:02,,视频速配,2025-07-21 18:00:02
39,743,784,date,2025-08-28 08:14:02,商场中庭,初次见面,2025-08-28 08:01:02
40,784,743,date,2025-08-28 11:09:02,博物馆,初次见面,2025-08-28 10:24:02
41,944,768,date,2025-07-21 04:37:02,Manner Coffee,初次见面,2025-07-21 04:24:02
42,768,944,video,2025-07-21 20:44:02,,视频速配,2025-07-21 20:09:02
43,1372,771,video,2025-08-09 18:27:02,,视频速配,2025-08-09 17:34:02
44,771,1372,video,2025-08-09 21:07:02,,视频速配,2025-08-09 20:25:02
45,1018,772,date,2025-07-09 07:00:02,万达广场,初次见面,2025-07-09 06:34:02
