id,user_id,relationship_goal,preferred_age_min,preferred_age_max,preferred_height_min,preferred_height_max,preferred_cities,accept_long_distance,accept_divorce,accept_children,marriage_timeline,child_plan,family_view,religion,must_not_accept,bonus_points,created_at,updated_at
1,1,marriage,27,33,157,162,"[""Nanjing"", ""Tianjin"", ""Hangzhou""]",0,1,1,1y,flexible,independent,christian,"[""heavy_drinking""]","[""chef"", ""family_oriented""]",2025-09-01 11:04:02,2025-09-01 11:04:02
2,2,dating,25,35,161,177,"[""Guangzhou""]",1,1,1,2y,unknown,independent,buddhism,[],[],2025-08-04 11:04:02,2025-08-04 11:04:02
3,3,marriage,24,31,158,169,"[""Chengdu"", ""Shenzhen"", ""Wuhan""]",1,1,1,flexible,unknown,independent,none,"[""smoking"", ""no_children""]",[],2025-08-12 11:04:02,2025-08-12 11:04:02
4,4,marriage,25,31,159,172,"[""Tianjin""]",1,0,1,unknown,flexible,independent,none,"[""no_children""]","[""financially_prudent"", ""traveler"", ""chef""]",2025-07-13 11:04:02,2025-07-13 11:04:02
5,5,marriage,24,32,150,166,"[""Suzhou"", ""Chengdu""]",0,1,1,flexible,flexible,,none,"[""no_children"", ""smoking""]","[""chef""]",2025-07-02 11:04:02,2025-07-02 11:04:02
6,6,marriage,22,30,160,175,"[""Xi'an""]",0,1,1,flexible,,,christian,[],"[""financially_prudent""]",2025-07-30 11:04:02,2025-07-30 11:04:02
7,7,marriage,27,32,160,175,"[""Shanghai"", ""Wuhan"", ""Guangzhou""]",1,0,1,1y,unknown,flexible,christian,"[""heavy_drinking""]","[""reader"", ""chef""]",2025-08-12 11:04:02,2025-08-12 11:04:02
8,8,marriage,28,32,156,161,"[""Chengdu""]",1,1,0,2y,want,flexible,taoism,"[""pet_reject""]","[""chef""]",2025-08-01 11:04:02,2025-08-01 11:04:02
9,9,marriage,28,37,161,170,"[""Beijing"", ""Xi'an""]",1,0,1,flexible,want,flexible,islam,"[""smoking""]","[""financially_prudent""]",2025-08-16 11:04:02,2025-08-16 11:04:02
10,10,dating,22,32,154,169,"[""Chengdu"", ""Wuhan"", ""Hangzhou""]",1,1,0,flexible,dont_want,independent,none,"[""no_children""]","[""traveler"", ""sporty""]",2025-06-25 11:04:02,2025-06-25 11:04:02
11,11,dating,27,33,164,182,"[""Chengdu"", ""Shanghai"", ""Xi'an""]",0,1,1,,dont_want,flexible,taoism,[],"[""sporty""]",2025-06-20 11:04:02,2025-06-20 11:04:02
12,12,dating,22,32,162,176,"[""Nanjing"", ""Beijing""]",0,1,1,flexible,flexible,,islam,[],"[""chef"", ""reader"", ""traveler""]",2025-06-11 11:04:02,2025-06-11 11:04:02
13,13,marriage,22,31,157,163,"[""Tianjin""]",1,0,0,flexible,dont_want,flexible,christian,"[""smoking""]",[],2025-08-01 11:04:02,2025-08-01 11:04:02
14,14,marriage,27,30,153,160,"[""Hangzhou"", ""Xi'an"", ""Shanghai""]",1,0,1,flexible,flexible,,christian,"[""heavy_drinking""]",[],2025-07-23 11:04:02,2025-07-23 11:04:02
15,15,marriage,24,31,150,159,"[""Shenzhen"", ""Tianjin"", ""Hangzhou""]",1,0,0,1y,unknown,,,"[""no_children""]","[""reader"", ""traveler"", ""sporty""]",2025-08-11 11:04:02,2025-08-11 11:04:02
16,16,dating,22,30,161,181,"[""Suzhou"", ""Beijing"", ""Shenzhen""]",1,0,0,,flexible,flexible,,"[""smoking""]","[""sporty""]",2025-07-25 11:04:02,2025-07-25 11:04:02
17,17,marriage,23,29,164,181,"[""Chengdu"", ""Shanghai"", ""Xi'an""]",1,0,1,flexible,,,christian,"[""heavy_drinking""]","[""traveler"", ""financially_prudent""]",2025-08-08 11:04:02,2025-08-08 11:04:02
18,18,marriage,22,25,159,172,"[""Beijing"", ""Suzhou"", ""Chengdu""]",0,0,0,1y,,,buddhism,"[""smoking""]","[""traveler"", ""reader""]",2025-08-11 11:04:02,2025-08-11 11:04:02
19,19,marriage,24,32,163,178,"[""Guangzhou"", ""Xi'an""]",1,1,1,unknown,want,with_parents,islam,"[""no_children""]",[],2025-07-07 11:04:02,2025-07-07 11:04:02
20,20,dating,25,35,151,170,"[""Nanjing"", ""Tianjin""]",1,1,0,1y,unknown,flexible,none,"[""heavy_drinking""]","[""chef"", ""financially_prudent"", ""reader""]",2025-08-06 11:04:02,2025-08-06 11:04:02
21,21,dating,23,29,151,160,"[""Suzhou""]",1,1,1,,flexible,,christian,"[""no_children"", ""heavy_drinking""]",[],2025-08-01 11:04:02,2025-08-01 11:04:02
22,22,marriage,26,34,159,179,"[""Shenzhen"", ""Shanghai""]",1,1,0,unknown,,with_parents,none,"[""no_children""]","[""reader"", ""financially_prudent""]",2025-06-11 11:04:02,2025-06-11 11:04:02
23,23,dating,23,27,157,164,"[""Beijing"", ""Shanghai""]",0,0,1,flexible,flexible,independent,islam,"[""heavy_drinking"", ""different_religion""]","[""reader"", ""financially_prudent"", ""chef""]",2025-07-06 11:04:02,2025-07-06 11:04:02
24,24,dating,25,28,150,165,"[""Beijing""]",1,1,1,,want,,none,"[""heavy_drinking"", ""smoking""]",[],2025-08-12 11:04:02,2025-08-12 11:04:02
25,25,dating,28,32,161,171,"[""Tianjin"", ""Suzhou""]",1,1,0,1y,flexible,,christian,"[""no_children"", ""pet_reject""]","[""reader""]",2025-06-12 11:04:02,2025-06-12 11:04:02
26,26,dating,23,28,162,182,"[""Chengdu""]",0,1,1,,unknown,flexible,,[],"[""sporty"", ""family_oriented""]",2025-08-22 11:04:02,2025-08-22 11:04:02
27,27,dating,23,29,154,173,"[""Chengdu""]",1,0,0,unknown,dont_want,independent,islam,[],"[""financially_prudent"", ""traveler""]",2025-07-22 11:04:02,2025-07-22 11:04:02
28,28,marriage,28,34,163,173,"[""Guangzhou"", ""Hangzhou""]",0,1,1,,want,with_parents,taoism,"[""different_religion"", ""pet_reject""]","[""family_oriented""]",2025-08-05 11:04:02,2025-08-05 11:04:02
29,29,marriage,25,29,160,177,"[""Chengdu"", ""Shenzhen"", ""Xi'an""]",0,1,0,unknown,unknown,,none,"[""pet_reject""]",[],2025-09-01 11:04:02,2025-09-01 11:04:02
30,30,marriage,23,33,163,172,"[""Guangzhou"", ""Wuhan""]",1,0,0,1y,want,with_parents,buddhism,"[""heavy_drinking"", ""smoking""]","[""chef""]",2025-08-26 11:04:02,2025-08-26 11:04:02
31,31,marriage,24,28,158,178,"[""Wuhan"", ""Suzhou""]",0,1,1,,unknown,with_parents,none,"[""heavy_drinking"", ""pet_reject""]","[""financially_prudent"", ""family_oriented""]",2025-07-15 11:04:02,2025-07-15 11:04:02
32,32,marriage,28,33,159,178,"[""Shenzhen"", ""Wuhan"", ""Hangzhou""]",1,0,1,unknown,,,taoism,"[""smoking"", ""different_religion""]","[""chef"", ""family_oriented""]",2025-06-19 11:04:02,2025-06-19 11:04:02
33,33,marriage,26,31,151,169,"[""Hangzhou"", ""Chengdu""]",0,1,1,1y,unknown,flexible,islam,[],"[""traveler"", ""reader""]",2025-09-04 11:04:02,2025-09-04 11:04:02
34,34,marriage,23,29,151,161,"[""Wuhan""]",1,0,1,flexible,dont_want,,taoism,"[""pet_reject"", ""no_children""]","[""family_oriented""]",2025-08-08 11:04:02,2025-08-08 11:04:02
35,35,marriage,24,32,165,171,"[""Chengdu"", ""Beijing"", ""Tianjin""]",1,0,0,2y,dont_want,flexible,buddhism,[],[],2025-08-25 11:04:02,2025-08-25 11:04:02
36,36,dating,26,36,153,168,"[""Nanjing"", ""Hangzhou"", ""Suzhou""]",1,1,0,flexible,want,independent,islam,"[""heavy_drinking"", ""no_children""]","[""reader"", ""sporty"", ""chef""]",2025-06-26 11:04:02,2025-06-26 11:04:02
37,37,marriage,23,26,160,177,"[""Hangzhou"", ""Wuhan"", ""Nanjing""]",1,1,1,1y,flexible,,islam,[],[],2025-06-24 11:04:02,2025-06-24 11:04:02
38,38,dating,22,29,162,170,"[""Shenzhen"", ""Xi'an""]",1,1,1,unknown,dont_want,,islam,"[""no_children"", ""different_religion""]",[],2025-07-25 11:04:02,2025-07-25 11:04:02
39,39,dating,27,34,164,173,"[""Shenzhen"", ""Nanjing"", ""Tianjin""]",1,1,1,1y,,independent,,"[""pet_reject""]","[""financially_prudent"", ""family_oriented"", ""traveler""]",2025-06-24 11:04:02,2025-06-24 11:04:02
40,40,dating,28,36,165,173,"[""Wuhan""]",1,1,1,unknown,dont_want,flexible,none,"[""heavy_drinking""]",[],2025-08-14 11:04:02,2025-08-14 11:04:02
41,41,marriage,28,34,150,161,"[""Wuhan""]",1,1,1,1y,flexible,,buddhism,"[""pet_reject""]","[""family_oriented"", ""reader"", ""sporty""]",2025-06-24 11:04:02,2025-06-24 11:04:02
42,42,dating,26,36,162,181,"[""Xi'an""]",1,1,1,flexible,want,,none,"[""heavy_drinking""]","[""family_oriented""]",2025-06-18 11:04:02,2025-06-18 11:04:02
43,43,marriage,24,31,163,180,"[""Xi'an""]",0,1,1,unknown,unknown,flexible,none,[],"[""reader"", ""chef""]",2025-07-22 11:04:02,2025-07-22 11:04:02
44,44,marriage,26,29,158,166,"[""Tianjin"", ""Guangzhou"", ""Xi'an""]",0,1,1,flexible,flexible,,taoism,"[""smoking"", ""heavy_drinking""]","[""financially_prudent""]",2025-06-27 11:04:02,2025-06-27 11:04:02
45,45,marriage,24,31,154,159,"[""Guangzhou""]",0,1,1,2y,unknown,flexible,none,"[""smoking"", ""heavy_drinking""]","[""reader"", ""chef"", ""sporty""]",2025-07-19 11:04:02,2025-07-19 11:04:02
46,46,dating,22,29,164,171,"[""Suzhou"", ""Shanghai"", ""Tianjin""]",0,0,0,2y,flexible,independent,buddhism,"[""different_religion"", ""pet_reject""]","[""traveler""]",2025-06-19 11:04:02,2025-06-19 11:04:02
47,47,dating,25,28,159,173,"[""Beijing"", ""Xi'an""]",1,1,0,,flexible,flexible,,"[""pet_reject""]","[""financially_prudent"", ""reader"", ""sporty""]",2025-06-13 11:04:02,2025-06-13 11:04:02
48,48,marriage,22,28,156,175,"[""Chengdu"", ""Suzhou""]",0,1,0,flexible,,independent,none,"[""smoking"", ""heavy_drinking""]","[""family_oriented"", ""financially_prudent"", ""traveler""]",2025-06-22 11:04:02,2025-06-22 11:04:02
49,49,marriage,23,27,151,158,"[""Xi'an""]",0,1,1,,want,with_parents,none,"[""smoking""]","[""traveler"", ""sporty"", ""financially_prudent""]",2025-07-16 11:04:02,2025-07-16 11:04:02
50,50,dating,25,35,150,157,"[""Nanjing"", ""Shenzhen""]",0,1,0,unknown,want,independent,,"[""pet_reject""]",[],2025-06-25 11:04:02,2025-06-25 11:04:02
51,51,marriage,25,32,157,169,"[""Tianjin""]",0,1,1,flexible,dont_want,with_parents,none,[],[],2025-08-11 11:04:02,2025-08-11 11:04:02
52,52,marriage,27,37,157,165,"[""Shenzhen"", ""Suzhou""]",0,0,0,1y,dont_want,flexible,taoism,"[""heavy_drinking"", ""pet_reject""]","[""financially_prudent"", ""chef""]",2025-07-23 11:04:02,2025-07-23 11:04:02
53,53,marriage,22,31,150,166,"[""Xi'an"", ""Shanghai""]",1,1,1,unknown,want,,taoism,[],"[""reader"", ""traveler"", ""sporty""]",2025-07-31 11:04:02,2025-07-31 11:04:02
54,54,dating,26,32,158,167,"[""Shanghai"", ""Xi'an""]",0,1,0,1y,dont_want,with_parents,none,"[""smoking"", ""no_children""]",[],2025-08-29 11:04:02,2025-08-29 11:04:02
55,55,dating,23,27,157,162,"[""Tianjin""]",0,1,0,1y,unknown,with_parents,taoism,"[""pet_reject""]",[],2025-09-06 11:04:02,2025-09-06 11:04:02
56,56,dating,27,36,161,176,"[""Wuhan"", ""Shanghai"", ""Guangzhou""]",1,1,0,unknown,want,independent,,"[""heavy_drinking""]",[],2025-08-17 11:04:02,2025-08-17 11:04:02
57,57,marriage,26,32,163,174,"[""Tianjin"", ""Suzhou""]",1,1,1,2y,,independent,none,[],[],2025-08-23 11:04:02,2025-08-23 11:04:02
58,58,marriage,28,33,155,170,"[""Suzhou""]",1,1,1,unknown,dont_want,independent,taoism,"[""different_religion"", ""pet_reject""]",[],2025-06-25 11:04:02,2025-06-25 11:04:02
