id,user_id,order_no,item_code,amount,pay_status,created_at
1,2,ORD00002z0env9,priority_match,49.0,paid,2025-07-20 11:04:02
2,8,ORD000089sdn7w,priority_match,49.0,refunded,2025-06-29 11:04:02
3,10,ORD000105c5ok9,exposure_boost,19.9,refunded,2025-06-14 11:04:02
4,13,ORD00013bx1h3h,matchmaker_1v1,199.0,unpaid,2025-06-20 11:04:02
5,17,ORD000173ayie2,exposure_boost,19.9,unpaid,2025-08-18 11:04:02
6,27,ORD00027g2fnus,exposure_boost,19.9,refunded,2025-07-21 11:04:02
7,33,ORD000331866n6,exposure_boost,19.9,paid,2025-06-26 11:04:02
8,36,ORD0003682wf80,priority_match,49.0,paid,2025-08-11 11:04:02
9,38,ORD00038w2n2im,matchmaker_1v1,199.0,paid,2025-08-25 11:04:02
10,40,ORD00040us4vwv,exposure_boost,19.9,unpaid,2025-06-20 11:04:02
11,42,ORD00042kwte09,matchmaker_1v1,199.0,refunded,2025-08-28 11:04:02
12,43,ORD000435o8msx,exposure_boost,19.9,paid,2025-06-24 11:04:02
13,45,ORD00045667akh,priority_match,49.0,paid,2025-07-25 11:04:02
14,47,ORD00047ur0gd9,priority_match,49.0,paid,2025-07-07 11:04:02
15,48,ORD00048yq61my,exposure_boost,19.9,refunding,2025-07-04 11:04:02
16,49,ORD00049u77qqk,matchmaker_1v1,199.0,paid,2025-07-14 11:04:02
17,55,ORD00055dxmc6s,exposure_boost,19.9,refunding,2025-08-06 11:04:02
18,61,ORD00061lf4z2n,priority_match,49.0,refunding,2025-06-28 11:04:02
19,63,ORD00063yh8jyu,priority_match,49.0,paid,2025-07-16 11:04:02
20,64,ORD00064nhq80u,matchmaker_1v1,199.0,unpaid,2025-07-26 11:04:02
21,78,ORD00078u9y625,exposure_boost,19.9,unpaid,2025-08-15 11:04:02
22,79,ORD00079tsfbit,priority_match,49.0,refunding,2025-08-11 11:04:02
23,81,ORD00081ntnjyz,priority_match,49.0,refunding,2025-06-15 11:04:02
24,83,ORD00083l7mk2f,exposure_boost,19.9,refunded,2025-08-30 11:04:02
25,84,ORD00084sz6afc,priority_match,49.0,unpaid,2025-08-31 11:04:02
26,85,ORD00085vo38x1,priority_match,49.0,paid,2025-07-26 11:04:02
27,91,ORD00091xtv0rc,exposure_boost,19.9,unpaid,2025-06-20 11:04:02
28,92,ORD00092ccsnae,priority_match,49.0,refunding,2025-07-31 11:04:02
29,94,ORD00094jysyy0,exposure_boost,19.9,refunded,2025-07-17 11:04:02
30,97,ORD00097cadghb,matchmaker_1v1,199.0,refunded,2025-07-30 11:04:02
31,98,ORD00098qhdcwg,matchmaker_1v1,199.0,paid,2025-09-01 11:04:02
32,104,ORD00104jomxgy,matchmaker_1v1,199.0,refunded,2025-07-10 11:04:02
33,107,ORD001071xc2hk,priority_match,49.0,paid,2025-07-30 11:04:02
34,110,ORD00110qt069n,priority_match,49.0,refunded,2025-06-19 11:04:02
35,113,ORD00113rxtizv,priority_match,49.0,unpaid,2025-07-15 11:04:02
36,115,ORD00115h6tiu7,matchmaker_1v1,199.0,refunding,2025-06-14 11:04:02
37,117,ORD00117z6z6jh,matchmaker_1v1,199.0,paid,2025-08-06 11:04:02
38,119,ORD001199bxi5t,priority_match,49.0,refunded,2025-07-12 11:04:02
39,120,ORD00120e5scku,matchmaker_1v1,199.0,refunding,2025-08-25 11:04:02
40,121,ORD001218p4aa3,matchmaker_1v1,199.0,unpaid,2025-07-08 11:04:02
41,122,ORD001225s8dqv,priority_match,49.0,paid,2025-08-30 11:04:02
42,124,ORD001244r0r3b,priority_match,49.0,refunded,2025-08-02 11:04:02
43,125,ORD00125fz9gi2,matchmaker_1v1,199.0,paid,2025-06-28 11:04:02
44,127,ORD001274qww5b,priority_match,49.0,paid,2025-07-09 11:04:02
45,130,ORD00130i6n2no,matchmaker_1v1,199.0,unpaid,2025-06-29 11:04:02
46,131,ORD0013103cs3k,exposure_boost,19.9,unpaid,2025-06-13 11:04:02
47,132,ORD00132nluycg,exposure_boost,19.9,unpaid,2025-08-22 11:04:02
48,134,ORD00134av035f,priority_match,49.0,paid,2025-07-24 11:04:02
49,135,ORD00135f6k9te,priority_match,49.0,refunded,2025-08-25 11:04:02
50,136,ORD00136ssj346,exposure_boost,19.9,paid,2025-07-27 11:04:02
51,139,ORD00139c42h5u,matchmaker_1v1,199.0,unpaid,2025-08-08 11:04:02
52,141,ORD00141zy54iq,matchmaker_1v1,199.0,paid,2025-09-05 11:04:02
53,143,ORD00143ndxr03,matchmaker_1v1,199.0,refunded,2025-07-18 11:04:02
54,144,ORD00144ez7xu1,exposure_boost,19.9,refunded,2025-09-07 11:04:02
55,153,ORD00153f1t6ap,exposure_boost,19.9,refunded,2025-07-03 11:04:02
56,157,ORD0015709vibu,matchmaker_1v1,199.0,unpaid,2025-06-27 11:04:02
57,162,ORD00162ekexns,exposure_boost,19.9,refunded,2025-08-21 11:04:02
58,163,ORD00163dtbf61,priority_match,49.0,refunded,2025-08-06 11:04:02
59,172,ORD00172boz2gu,matchmaker_1v1,199.0,paid,2025-08-10 11:04:02
60,185,ORD001850o9qqw,matchmaker_1v1,199.0,refunded,2025-08-15 11:04:02
61,189,ORD001897owkbz,exposure_boost,19.9,refunding,2025-07-07 11:04:02
62,193,ORD001938n65ni,matchmaker_1v1,199.0,paid,2025-07-03 11:04:02
63,196,ORD00196aw6tx1,priority_match,49.0,paid,2025-07-17 11:04:02
64,197,ORD001973uf6wb,matchmaker_1v1,199.0,refunded,2025-08-27 11:04:02
65,202,ORD00202eaz0qn,matchmaker_1v1,199.0,refunding,2025-07-25 11:04:02
66,203,ORD0020343zz46,priority_match,49.0,refunding,2025-06-14 11:04:02
67,208,ORD002086m6ljt,matchmaker_1v1,199.0,unpaid,2025-07-21 11:04:02
68,210,ORD00210qwkwkm,priority_match,49.0,paid,2025-09-01 11:04:02
69,214,ORD00214x7j1pk,matchmaker_1v1,199.0,refunded,2025-07-04 11:04:02
70,217,ORD002176k9vs1,exposure_boost,19.9,paid,2025-08-12 11:04:02
71,218,ORD002189cmmwc,matchmaker_1v1,199.0,refunded,2025-07-22 11:04:02
72,224,ORD0022436b76b,exposure_boost,19.9,unpaid,2025-08-11 11:04:02
73,228,ORD00228pvbkzu,matchmaker_1v1,199.0,refunding,2025-07-13 11:04:02
74,230,ORD00230itl792,matchmaker_1v1,199.0,refunded,2025-08-07 11:04:02
75,231,ORD00231mwibhj,exposure_boost,19.9,paid,2025-08-11 11:04:02
76,232,ORD002328sje4f,priority_match,49.0,unpaid,2025-07-01 11:04:02
77,233,ORD002336jket4,priority_match,49.0,refunded,2025-06-29 11:04:02
78,237,ORD0023758b2kf,exposure_boost,19.9,refunded,2025-08-15 11:04:02
79,238,ORD002382w9wib,exposure_boost,19.9,paid,2025-08-03 11:04:02
80,244,ORD00244laid4b,matchmaker_1v1,199.0,refunding,2025-08-28 11:04:02
81,245,ORD00245itiy4a,priority_match,49.0,paid,2025-07-19 11:04:02
82,247,ORD00247n9zaly,priority_match,49.0,paid,2025-08-24 11:04:02
83,248,ORD002485bkr4e,priority_match,49.0,paid,2025-06-16 11:04:02
84,251,ORD00251ojiw5y,matchmaker_1v1,199.0,paid,2025-09-08 11:04:02
85,253,ORD00253w7fy8w,exposure_boost,19.9,refunding,2025-07-30 11:04:02
86,256,ORD002565xz9kx,matchmaker_1v1,199.0,unpaid,2025-09-07 11:04:02
87,260,ORD00260lrnqn5,matchmaker_1v1,199.0,refunding,2025-08-04 11:04:02
88,263,ORD00263vu550k,matchmaker_1v1,199.0,refunded,2025-08-18 11:04:02
89,267,ORD00267h6pyvg,matchmaker_1v1,199.0,unpaid,2025-09-08 11:04:02
90,268,ORD00268och8di,matchmaker_1v1,199.0,refunded,2025-07-23 11:04:02
91,270,ORD00270l2rhm3,matchmaker_1v1,199.0,paid,2025-06-16 11:04:02
92,285,ORD0028578py60,matchmaker_1v1,199.0,refunded,2025-09-03 11:04:02
93,287,ORD00287pjgxy2,matchmaker_1v1,199.0,refunding,2025-08-15 11:04:02
94,289,ORD00289d9rtb2,matchmaker_1v1,199.0,refunding,2025-08-19 11:04:02
95,294,ORD00294eehr2d,matchmaker_1v1,199.0,refunded,2025-08-22 11:04:02
96,298,ORD002982cra9r,matchmaker_1v1,199.0,unpaid,2025-08-15 11:04:02
97,304,ORD003042ggp2b,matchmaker_1v1,199.0,refunded,2025-07-18 11:04:02
98,307,ORD00307q334s3,priority_match,49.0,unpaid,2025-07-01 11:04:02
99,311,ORD00311nuq1bb,matchmaker_1v1,199.0,refunding,2025-07-03 11:04:02
100,313,ORD00313v1bkjv,exposure_boost,19.9,paid,2025-09-06 11:04:02
101,317,ORD00317yi2174,priority_match,49.0,paid,2025-08-23 11:04:02
102,318,ORD00318kw6rk6,priority_match,49.0,refunded,2025-07-23 11:04:02
103,320,ORD00320z39alh,priority_match,49.0,paid,2025-09-06 11:04:02
104,321,ORD003218ie0ag,priority_match,49.0,refunding,2025-09-02 11:04:02
105,323,ORD003237wf219,priority_match,49.0,paid,2025-08-04 11:04:02
106,324,ORD00324hdorr9,matchmaker_1v1,199.0,refunding,2025-07-30 11:04:02
107,325,ORD003254hb7vl,matchmaker_1v1,199.0,unpaid,2025-07-27 11:04:02
108,328,ORD003281e58jq,priority_match,49.0,refunding,2025-08-09 11:04:02
109,335,ORD00335uyzgje,matchmaker_1v1,199.0,paid,2025-08-09 11:04:02
110,336,ORD0033601opjw,exposure_boost,19.9,unpaid,2025-09-08 11:04:02
111,337,ORD00337d5i351,priority_match,49.0,refunding,2025-08-21 11:04:02
112,339,ORD00339bdrnc5,matchmaker_1v1,199.0,unpaid,2025-07-12 11:04:02
113,340,ORD0034086kmtx,exposure_boost,19.9,paid,2025-08-24 11:04:02
114,341,ORD003418ovlgy,exposure_boost,19.9,paid,2025-08-17 11:04:02
115,342,ORD00342gcqxcs,priority_match,49.0,paid,2025-07-16 11:04:02
116,354,ORD003544ctyaz,matchmaker_1v1,199.0,refunded,2025-06-12 11:04:02
117,355,ORD0035508o8tm,exposure_boost,19.9,unpaid,2025-07-24 11:04:02
118,357,ORD00357sljek2,exposure_boost,19.9,refunding,2025-07-08 11:04:02
119,358,ORD00358v76sbg,exposure_boost,19.9,refunding,2025-07-28 11:04:02
120,361,ORD00361ehbclk,matchmaker_1v1,199.0,refunding,2025-07-19 11:04:02
121,366,ORD00366kavo8r,matchmaker_1v1,199.0,refunded,2025-07-24 11:04:02
122,367,ORD00367vwutof,exposure_boost,19.9,refunded,2025-06-15 11:04:02
123,368,ORD00368kwiyl1,exposure_boost,19.9,paid,2025-07-23 11:04:02
124,371,ORD0037157kmqf,priority_match,49.0,paid,2025-06-30 11:04:02
125,375,ORD00375ur7s0y,priority_match,49.0,refunding,2025-08-17 11:04:02
126,376,ORD00376kjh2qc,priority_match,49.0,refunding,2025-07-31 11:04:02
127,381,ORD00381aop4jr,priority_match,49.0,refunding,2025-07-03 11:04:02
128,383,ORD0038343tzte,priority_match,49.0,paid,2025-08-24 11:04:02
129,385,ORD00385jujhvd,exposure_boost,19.9,paid,2025-08-10 11:04:02
130,386,ORD00386s6egn1,priority_match,49.0,paid,2025-06-17 11:04:02
131,387,ORD003879wyzlq,exposure_boost,19.9,paid,2025-08-27 11:04:02
132,390,ORD00390m62idg,matchmaker_1v1,199.0,unpaid,2025-09-03 11:04:02
133,391,ORD00391l22f8j,priority_match,49.0,refunding,2025-08-29 11:04:02
134,392,ORD00392pk8k9m,priority_match,49.0,unpaid,2025-07-16 11:04:02
135,394,ORD00394l8xkm7,priority_match,49.0,paid,2025-09-04 11:04:02
136,395,ORD00395wdkkfy,exposure_boost,19.9,refunding,2025-06-26 11:04:02
137,397,ORD00397cq32fu,matchmaker_1v1,199.0,refunded,2025-07-05 11:04:02
138,400,ORD00400ki9xxy,priority_match,49.0,refunded,2025-08-06 11:04:02
139,401,ORD00401gk4vnn,exposure_boost,19.9,refunded,2025-07-18 11:04:02
140,402,ORD004026jd9yr,matchmaker_1v1,199.0,refunding,2025-09-08 11:04:02
141,404,ORD004041gc56k,priority_match,49.0,paid,2025-06-11 11:04:02
142,405,ORD00405nxlw8t,priority_match,49.0,paid,2025-07-15 11:04:02
143,406,ORD00406sjq71x,exposure_boost,19.9,unpaid,2025-07-30 11:04:02
144,408,ORD00408v8k9eb,matchmaker_1v1,199.0,refunded,2025-07-16 11:04:02
145,409,ORD0040959g11x,exposure_boost,19.9,paid,2025-08-22 11:04:02
146,417,ORD00417qel1ib,priority_match,49.0,paid,2025-06-25 11:04:02
147,419,ORD004193eu3me,matchmaker_1v1,199.0,paid,2025-06-21 11:04:02
148,422,ORD004226uqhde,matchmaker_1v1,199.0,unpaid,2025-07-26 11:04:02
149,424,ORD00424kim65n,matchmaker_1v1,199.0,paid,2025-08-28 11:04:02
150,425,ORD00425ldrp7j,exposure_boost,19.9,paid,2025-08-26 11:04:02
151,426,ORD00426hs2hgf,matchmaker_1v1,199.0,refunded,2025-07-22 11:04:02
152,427,ORD00427c0sll9,priority_match,49.0,paid,2025-08-16 11:04:02
153,428,ORD00428uvbljs,exposure_boost,19.9,unpaid,2025-07-13 11:04:02
