id,user_id,visibility_scope,contact_sharing,org_block_enabled,phonebook_block_enabled,location_precision,data_export_requested,deletion_requested,created_at,updated_at
1,1,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-01 11:04:02,2025-09-01 11:04:02
2,2,matched,double_confirm,1,1,city,0,0,2025-08-04 11:04:02,2025-08-04 11:04:02
3,3,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-12 11:04:02,2025-08-12 11:04:02
4,4,public,double_confirm,1,1,city,0,0,2025-07-13 11:04:02,2025-07-13 11:04:02
5,5,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-02 11:04:02,2025-07-02 11:04:02
6,6,matched,double_confirm,1,1,city,0,0,2025-07-30 11:04:02,2025-07-30 11:04:02
7,7,public,double_confirm,1,1,city,0,0,2025-08-12 11:04:02,2025-08-12 11:04:02
8,8,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-01 11:04:02,2025-08-01 11:04:02
9,9,public,double_confirm,1,1,city,0,0,2025-08-16 11:04:02,2025-08-16 11:04:02
10,10,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-25 11:04:02,2025-06-25 11:04:02
11,11,matched,double_confirm,1,1,city,0,0,2025-06-20 11:04:02,2025-06-20 11:04:02
12,12,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-11 11:04:02,2025-06-11 11:04:02
13,13,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-01 11:04:02,2025-08-01 11:04:02
14,14,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-23 11:04:02,2025-07-23 11:04:02
15,15,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-11 11:04:02,2025-08-11 11:04:02
16,16,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-25 11:04:02,2025-07-25 11:04:02
17,17,matched,double_confirm,1,1,city,0,0,2025-08-08 11:04:02,2025-08-08 11:04:02
18,18,matched,double_confirm,1,1,city,0,0,2025-08-11 11:04:02,2025-08-11 11:04:02
19,19,public,double_confirm,1,1,city,0,0,2025-07-07 11:04:02,2025-07-07 11:04:02
20,20,public,double_confirm,1,1,city,0,0,2025-08-06 11:04:02,2025-08-06 11:04:02
21,21,matched,double_confirm,1,1,city,0,0,2025-08-01 11:04:02,2025-08-01 11:04:02
22,22,public,double_confirm,1,1,city,0,0,2025-06-11 11:04:02,2025-06-11 11:04:02
23,23,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-06 11:04:02,2025-07-06 11:04:02
24,24,matched,double_confirm,1,1,city,0,0,2025-08-12 11:04:02,2025-08-12 11:04:02
25,25,matched,double_confirm,1,1,city,0,0,2025-06-12 11:04:02,2025-06-12 11:04:02
26,26,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-22 11:04:02,2025-08-22 11:04:02
27,27,matched,double_confirm,1,1,city,0,0,2025-07-22 11:04:02,2025-07-22 11:04:02
28,28,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-05 11:04:02,2025-08-05 11:04:02
29,29,matched,double_confirm,1,1,city,0,0,2025-09-01 11:04:02,2025-09-01 11:04:02
30,30,public,double_confirm,1,1,city,0,0,2025-08-26 11:04:02,2025-08-26 11:04:02
31,31,public,double_confirm,1,1,city,0,0,2025-07-15 11:04:02,2025-07-15 11:04:02
32,32,matched,double_confirm,1,1,city,0,0,2025-06-19 11:04:02,2025-06-19 11:04:02
33,33,public,double_confirm,1,1,city,0,0,2025-09-04 11:04:02,2025-09-04 11:04:02
34,34,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-08 11:04:02,2025-08-08 11:04:02
