id,user_id,question,answer,visible,created_at
1,1,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-07-26 11:04:02
2,1,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-08-07 11:04:02
3,2,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-07-01 11:04:02
4,3,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-07-17 11:04:02
5,3,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-06-26 11:04:02
6,4,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-16 11:04:02
7,5,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-08-22 11:04:02
8,5,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-08-14 11:04:02
9,6,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-07-20 11:04:02
10,6,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-24 11:04:02
11,6,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-07-29 11:04:02
12,7,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-08-04 11:04:02
13,7,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-09-02 11:04:02
14,7,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-13 11:04:02
15,8,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-13 11:04:02
16,8,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-06-30 11:04:02
17,9,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-08-11 11:04:02
18,10,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-09-09 11:04:02
19,11,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-07-14 11:04:02
20,11,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-07-14 11:04:02
21,12,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-08-12 11:04:02
22,12,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-08-17 11:04:02
23,12,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-06-16 11:04:02
24,13,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-07-26 11:04:02
25,13,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-07-25 11:04:02
26,14,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-08-08 11:04:02
27,14,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-07-08 11:04:02
28,14,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-06-29 11:04:02
29,15,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-07-18 11:04:02
30,15,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-06-16 11:04:02
31,15,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-08-29 11:04:02
32,16,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-07-25 11:04:02
33,16,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-06-24 11:04:02
34,17,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-06-15 11:04:02
35,17,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-30 11:04:02
36,18,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-07-30 11:04:02
37,18,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-08-06 11:04:02
38,18,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-08-29 11:04:02
39,19,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-07-01 11:04:02
40,19,你理想的旅行？,海岛躺平/徒步登山/城市漫游,0,2025-08-25 11:04:02
41,19,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-22 11:04:02
42,20,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-08-10 11:04:02
43,21,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-06-16 11:04:02
44,21,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-08-18 11:04:02
45,22,最喜欢的周末安排？,和朋友聚会/运动/看电影,1,2025-07-17 11:04:02
46,22,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-07-21 11:04:02
47,23,你理想的旅行？,海岛躺平/徒步登山/城市漫游,1,2025-06-28 11:04:02
48,23,三年内的计划？,稳定发展/学习提升/结婚组建家庭,1,2025-08-11 11:04:02
49,23,你最拿手的菜？,番茄牛腩/咖喱鸡/意大利面,1,2025-08-13 11:04:02
