id,user_a_id,user_b_id,stage,updated_by,updated_at
1,217,1246,off_the_shelf,217,2025-09-01 04:17:02
2,250,1136,exclusive,1136,2025-09-07 13:20:02
3,292,817,exclusive,817,2025-08-25 19:54:02
4,297,712,exclusive,297,2025-09-07 23:19:02
5,299,691,dating,691,2025-08-25 21:30:02
6,364,1462,off_the_shelf,1462,2025-08-20 19:13:02
7,507,1879,met,507,2025-08-28 05:27:02
8,561,855,met,855,2025-07-17 01:04:02
9,601,1430,dating,601,2025-07-23 16:00:02
10,743,784,exclusive,743,2025-08-28 11:24:02
11,840,849,exclusive,849,2025-08-27 13:38:02
12,897,1246,exclusive,1246,2025-08-05 18:09:02
13,1100,1462,dating,1462,2025-07-06 10:32:02
14,1216,1927,met,1216,2025-08-13 16:15:02
15,1217,1415,dating,1217,2025-06-26 10:52:02
16,1368,1681,dating,1368,2025-08-31 23:55:02
17,1524,1769,off_the_shelf,1524,2025-07-29 17:20:02
18,1858,1949,dating,1858,2025-09-03 04:55:02
