id,user_id,activity_id,status,group_no,liked_user_ids,review,created_at
1,1603,4,approved,,[],活动很棒,2025-07-11 11:18:51
2,1266,5,rejected,B,"[950, 1406]",,2025-09-01 11:18:51
3,1696,6,rejected,,"[1572, 1728, 1243]",,2025-08-31 11:18:51
4,1162,6,absent,B,"[460, 1728]",组织有序,2025-08-02 11:18:51
5,188,10,absent,A,[],氛围不错,2025-06-20 11:18:51
6,740,9,rejected,,[234],,2025-07-28 11:18:51
7,937,6,absent,B,[1921],组织有序,2025-08-07 11:18:51
8,282,6,rejected,,"[910, 254, 2]",,2025-07-21 11:18:51
9,720,6,rejected,,"[935, 289, 577]",,2025-08-18 11:18:51
10,975,1,checked_in,B,"[1594, 1772]",活动很棒,2025-08-13 11:18:51
11,753,2,checked_in,C,[],组织有序,2025-06-17 11:18:51
12,710,6,absent,A,"[1023, 556, 791]",活动很棒,2025-06-27 11:18:51
13,607,3,approved,C,[],氛围不错,2025-08-23 11:18:51
14,341,2,absent,C,[946],组织有序,2025-08-30 11:18:51
15,604,9,approved,A,"[1007, 1733]",组织有序,2025-08-11 11:18:51
16,1095,10,checked_in,B,[],组织有序,2025-09-10 11:18:51
17,181,3,absent,A,[338],组织有序,2025-08-02 11:18:51
18,451,4,absent,B,"[124, 1927]",,2025-09-07 11:18:51
19,463,2,rejected,C,"[1684, 1732]",,2025-08-01 11:18:51
20,1308,1,absent,C,[1877],氛围不错,2025-06-14 11:18:51
21,1690,1,checked_in,C,[1863],活动很棒,2025-07-23 11:18:51
22,1636,5,applied,C,"[1569, 1094, 1186]",氛围不错,2025-09-09 11:18:51
23,1467,7,rejected,B,"[751, 502, 1029]",组织有序,2025-07-15 11:18:51
24,1205,1,rejected,,[],氛围不错,2025-09-04 11:18:51
25,1492,10,applied,C,[896],组织有序,2025-07-08 11:18:51
26,889,8,approved,A,"[1717, 272]",氛围不错,2025-07-20 11:18:51
27,619,5,approved,B,[68],,2025-08-18 11:18:51
28,390,4,rejected,B,"[1016, 1769, 111]",活动很棒,2025-07-07 11:18:51
29,1373,6,applied,A,"[567, 1138]",组织有序,2025-06-24 11:18:51
30,775,3,rejected,,"[1973, 1762]",氛围不错,2025-06-23 11:18:51
31,680,2,checked_in,B,[],,2025-07-11 11:18:51
32,806,10,absent,,[],,2025-06-12 11:18:51
33,1867,7,absent,C,"[84, 1351, 495]",,2025-08-04 11:18:51
34,544,2,absent,B,"[306, 1812, 1593]",活动很棒,2025-06-28 11:18:51
35,1076,5,checked_in,B,"[1185, 1325]",氛围不错,2025-07-14 11:18:51
36,664,7,checked_in,A,[],,2025-06-18 11:18:51
37,749,6,rejected,C,"[1473, 989, 371]",,2025-06-13 11:18:51
38,287,10,checked_in,,"[801, 1594, 1122]",组织有序,2025-07-27 11:18:51
39,719,2,applied,B,[],组织有序,2025-07-24 11:18:51
40,1043,9,absent,A,[],组织有序,2025-08-16 11:18:51
41,214,9,checked_in,B,"[1554, 97]",,2025-08-06 11:18:51
42,369,4,approved,,"[55, 1747]",组织有序,2025-08-13 11:18:51
43,1350,7,applied,,"[454, 1542, 457]",组织有序,2025-06-13 11:18:51
44,1033,10,absent,A,"[884, 323, 389]",活动很棒,2025-08-14 11:18:51
45,264,7,absent,,[1949],,2025-08-11 11:18:51
46,1588,10,checked_in,,"[26, 295, 1908]",活动很棒,2025-06-19 11:18:51
47,1949,5,checked_in,B,"[1383, 1639, 1745]",活动很棒,2025-07-28 11:18:51
48,285,9,checked_in,B,[1315],氛围不错,2025-08-11 11:18:51
49,543,9,applied,C,[928],活动很棒,2025-06-29 11:18:51
50,209,3,applied,B,"[1325, 1596, 1624]",氛围不错,2025-09-02 11:18:51
51,244,7,checked_in,,"[38, 1271]",,2025-08-12 11:18:51
52,1712,1,absent,,"[1995, 1314]",活动很棒,2025-07-24 11:18:51
53,1864,5,absent,A,"[170, 1479, 644]",氛围不错,2025-06-29 11:18:51
54,772,9,rejected,B,[],氛围不错,2025-07-07 11:18:51
55,622,2,checked_in,,"[604, 1140, 1127]",活动很棒,2025-08-22 11:18:51
56,273,5,applied,,"[1802, 1112, 1610]",组织有序,2025-07-14 11:18:51
57,561,5,checked_in,C,[1747],活动很棒,2025-08-29 11:18:51
