id,user_id,blocked_user_id,reason,created_at
1,155,1977,骚扰信息,2025-08-13 11:18:51
2,1543,1978,价值观不合,2025-09-04 11:18:51
3,1924,1554,虚假资料,2025-07-25 11:18:51
4,818,1897,骚扰信息,2025-07-10 11:18:51
5,445,1281,价值观不合,2025-07-12 11:18:51
6,295,774,骚扰信息,2025-06-12 11:18:51
7,1976,119,骚扰信息,2025-06-24 11:18:51
8,653,1070,价值观不合,2025-07-29 11:18:51
9,860,385,虚假资料,2025-06-24 11:18:51
10,54,800,虚假资料,2025-08-13 11:18:51
11,876,519,虚假资料,2025-06-29 11:18:51
12,376,41,骚扰信息,2025-06-25 11:18:51
13,1654,1781,价值观不合,2025-09-03 11:18:51
14,1474,1302,虚假资料,2025-07-21 11:18:51
15,729,1133,价值观不合,2025-06-29 11:18:51
16,237,1353,虚假资料,2025-08-04 11:18:51
17,1578,889,骚扰信息,2025-07-12 11:18:51
18,811,1966,价值观不合,2025-08-19 11:18:51
19,393,1034,虚假资料,2025-08-13 11:18:51
20,1180,528,价值观不合,2025-07-19 11:18:51
21,895,381,价值观不合,2025-06-13 11:18:51
22,528,1096,价值观不合,2025-07-06 11:18:51
23,1408,1576,骚扰信息,2025-08-01 11:18:51
24,394,253,骚扰信息,2025-06-13 11:18:51
25,1809,1572,骚扰信息,2025-06-28 11:18:51
26,1037,951,价值观不合,2025-07-18 11:18:51
27,959,706,虚假资料,2025-08-31 11:18:51
28,1120,61,价值观不合,2025-08-17 11:18:51
29,1940,790,骚扰信息,2025-07-19 11:18:51
30,291,1073,骚扰信息,2025-06-25 11:18:51
31,94,1406,骚扰信息,2025-09-04 11:18:51
32,452,942,价值观不合,2025-08-05 11:18:51
33,527,1807,骚扰信息,2025-09-09 11:18:51
34,1209,1516,虚假资料,2025-07-13 11:18:51
35,1915,1501,价值观不合,2025-06-18 11:18:51
36,572,1366,价值观不合,2025-06-29 11:18:51
37,1348,636,虚假资料,2025-06-23 11:18:51
38,1451,1541,骚扰信息,2025-06-15 11:18:51
39,1608,88,虚假资料,2025-07-26 11:18:51
40,751,1254,骚扰信息,2025-09-07 11:18:51
41,55,1202,骚扰信息,2025-09-04 11:18:51
42,677,398,价值观不合,2025-09-09 11:18:51
43,433,264,虚假资料,2025-06-12 11:18:51
44,158,1163,骚扰信息,2025-06-14 11:18:51
45,1743,421,价值观不合,2025-08-27 11:18:51
46,358,1205,虚假资料,2025-09-02 11:18:51
47,1125,1336,骚扰信息,2025-09-04 11:18:51
48,1091,904,虚假资料,2025-08-09 11:18:51
49,1648,1369,价值观不合,2025-06-22 11:18:51
50,547,139,价值观不合,2025-08-07 11:18:51
51,1813,478,价值观不合,2025-07-25 11:18:51
52,286,903,骚扰信息,2025-08-23 11:18:51
53,1741,1352,价值观不合,2025-08-27 11:18:51
54,1538,693,虚假资料,2025-08-09 11:18:51
55,1129,1171,虚假资料,2025-08-25 11:18:51
56,466,1347,虚假资料,2025-06-15 11:18:51
57,551,1797,骚扰信息,2025-08-08 11:18:51
58,1585,589,价值观不合,2025-07-30 11:18:51
59,1536,267,价值观不合,2025-08-14 11:18:51
60,1857,1275,骚扰信息,2025-07-29 11:18:51
61,1469,566,虚假资料,2025-09-10 11:18:51
62,89,750,虚假资料,2025-08-15 11:18:51
63,39,1800,骚扰信息,2025-06-19 11:18:51
64,731,1470,价值观不合,2025-07-11 11:18:51
65,1911,117,骚扰信息,2025-06-12 11:18:51
66,224,1130,骚扰信息,2025-06-29 11:18:51
67,244,1397,价值观不合,2025-07-28 11:18:51
68,469,1485,价值观不合,2025-09-08 11:18:51
69,64,407,骚扰信息,2025-08-01 11:18:51
70,1913,1677,虚假资料,2025-08-08 11:18:51
71,1384,1016,虚假资料,2025-07-01 11:18:51
72,1761,1945,价值观不合,2025-08-08 11:18:51
73,1633,1527,价值观不合,2025-06-23 11:18:51
74,984,58,价值观不合,2025-06-19 11:18:51
75,1696,1093,骚扰信息,2025-08-16 11:18:51
76,390,1240,价值观不合,2025-06-27 11:18:51
77,583,1895,价值观不合,2025-09-02 11:18:51
78,1128,228,虚假资料,2025-08-05 11:18:51
79,623,941,骚扰信息,2025-07-03 11:18:51
80,1260,155,骚扰信息,2025-08-15 11:18:51
81,1956,616,骚扰信息,2025-07-15 11:18:51
82,1354,193,骚扰信息,2025-08-28 11:18:51
83,1810,1524,虚假资料,2025-07-18 11:18:51
84,219,648,骚扰信息,2025-09-05 11:18:51
85,1070,835,骚扰信息,2025-06-13 11:18:51
86,602,1642,虚假资料,2025-06-17 11:18:51
87,473,295,骚扰信息,2025-08-30 11:18:51
88,629,537,价值观不合,2025-07-04 11:18:51
89,15,1105,骚扰信息,2025-08-06 11:18:51
90,266,1157,价值观不合,2025-06-26 11:18:51
91,1636,650,价值观不合,2025-08-21 11:18:51
92,1919,1408,虚假资料,2025-08-15 11:18:51
93,217,441,骚扰信息,2025-08-31 11:18:51
94,122,673,价值观不合,2025-08-09 11:18:51
95,84,888,价值观不合,2025-06-27 11:18:51
96,30,1082,虚假资料,2025-06-20 11:18:51
97,1199,700,骚扰信息,2025-08-24 11:18:51
98,670,874,骚扰信息,2025-07-20 11:18:51
99,4,10,虚假资料,2025-07-15 11:18:51
100,1215,1936,价值观不合,2025-06-18 11:18:51
