id,user_id,cert_type,status,doc_meta,reviewed_by,reviewed_at,created_at,updated_at
1,1,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-20 11:18:51,2025-06-20 11:18:51
2,1,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-08-15 11:18:51,2025-08-15 11:18:51
3,2,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-23 11:18:51,2025-06-23 11:18:51
4,2,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-25 11:18:51,2025-07-25 11:18:51
5,3,identity,approved,"{""file"": ""redacted.png""}",,,,2025-08-02 11:18:51,2025-08-02 11:18:51
6,3,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-26 11:18:51,2025-07-26 11:18:51
7,3,education,pending,"{""meta"": ""ocr""}",,,,2025-07-12 11:18:51,2025-07-12 11:18:51
8,4,identity,pending,"{""file"": ""redacted.png""}",,,,2025-08-07 11:18:51,2025-08-07 11:18:51
9,4,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-06-27 11:18:51,2025-06-27 11:18:51
10,5,identity,approved,"{""file"": ""redacted.png""}",,,,2025-09-02 11:18:51,2025-09-02 11:18:51
11,5,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-02 11:18:51,2025-07-02 11:18:51
12,6,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-27 11:18:51,2025-06-27 11:18:51
13,6,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-29 11:18:51,2025-07-29 11:18:51
14,7,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-29 11:18:51,2025-06-29 11:18:51
15,7,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-08-02 11:18:51,2025-08-02 11:18:51
16,8,identity,approved,"{""file"": ""redacted.png""}",,,,2025-09-07 11:18:51,2025-09-07 11:18:51
17,8,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-08-08 11:18:51,2025-08-08 11:18:51
18,9,identity,approved,"{""file"": ""redacted.png""}",,,,2025-08-11 11:18:51,2025-08-11 11:18:51
19,9,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-18 11:18:51,2025-07-18 11:18:51
20,10,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-26 11:18:51,2025-06-26 11:18:51
21,10,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-06-14 11:18:51,2025-06-14 11:18:51
22,10,income,approved,"{""meta"": ""ocr""}",,,,2025-06-20 11:18:51,2025-06-20 11:18:51
23,11,identity,approved,"{""file"": ""redacted.png""}",,,,2025-06-28 11:18:51,2025-06-28 11:18:51
24,11,photo_liveness,approved,"{""file"": ""redacted.png""}",,,,2025-07-15 11:18:51,2025-07-15 11:18:51
