id,user_id,coupon_code,status,expire_at,created_at
1,8,CPND3V9C9,unused,2025-12-02 11:18:51,2025-08-10 11:18:51
2,9,CPNBYZQMV,used,2025-12-01 11:18:51,2025-07-11 11:18:51
3,16,CPNPH7HVV,unused,2026-01-08 11:18:51,2025-06-14 11:18:51
4,21,CPNNVADXX,unused,2025-11-15 11:18:51,2025-08-28 11:18:51
5,23,CPN2WZ22L,used,2025-11-01 11:18:51,2025-07-01 11:18:51
6,24,CPN7F7GDD,unused,2025-11-07 11:18:51,2025-06-12 11:18:51
7,28,CPNUFM64A,expired,2025-12-04 11:18:51,2025-06-19 11:18:51
8,29,CPNUKNVPO,expired,2025-12-21 11:18:51,2025-06-23 11:18:51
9,31,CPNT6UEMX,used,2025-11-14 11:18:51,2025-07-08 11:18:51
10,42,CPN67WD0C,used,2025-12-19 11:18:51,2025-08-16 11:18:51
11,45,CPNH57QOY,expired,2025-12-06 11:18:51,2025-07-21 11:18:51
12,49,CPNIV53AN,expired,2025-12-24 11:18:51,2025-06-22 11:18:51
13,50,CPNUH271V,unused,2025-12-30 11:18:51,2025-06-26 11:18:51
14,53,CPN5WPL7X,expired,2025-11-09 11:18:51,2025-09-02 11:18:51
15,55,CPNGTL5X0,used,2025-11-16 11:18:51,2025-08-04 11:18:51
16,67,CPN16YCW8,unused,2026-01-05 11:18:51,2025-08-29 11:18:51
17,68,CPN188D33,expired,2025-12-14 11:18:51,2025-07-18 11:18:51
18,76,CPNDAI5K3,unused,2025-12-10 11:18:51,2025-09-06 11:18:51
19,83,CPNBRTPAQ,unused,2025-11-13 11:18:51,2025-08-22 11:18:51
20,84,CPNQ285N9,used,2025-11-27 11:18:51,2025-08-19 11:18:51
21,92,CPNEFZ3SO,expired,2026-01-03 11:18:51,2025-08-01 11:18:51
22,97,CPN8LCL9A,used,2025-11-27 11:18:51,2025-07-31 11:18:51
23,102,CPNDQF8C6,expired,2025-12-21 11:18:51,2025-06-16 11:18:51
24,106,CPNFDTF31,expired,2025-10-27 11:18:51,2025-07-30 11:18:51
25,108,CPNLIVL70,used,2025-12-05 11:18:51,2025-07-22 11:18:51
26,114,CPN51Y4QT,expired,2025-12-31 11:18:51,2025-08-28 11:18:51
27,121,CPN0AAV80,used,2025-12-14 11:18:51,2025-08-31 11:18:51
28,123,CPN2V67WG,used,2025-10-30 11:18:51,2025-07-14 11:18:51
29,127,CPN0SCUFO,used,2025-12-11 11:18:51,2025-08-19 11:18:51
30,130,CPNF90K0Q,expired,2025-11-20 11:18:51,2025-09-08 11:18:51
31,132,CPNV4YH38,unused,2025-11-09 11:18:51,2025-08-01 11:18:51
32,137,CPN2J7K7N,used,2025-11-25 11:18:51,2025-08-27 11:18:51
33,142,CPNN1WQ11,unused,2025-12-31 11:18:51,2025-08-25 11:18:51
34,143,CPN89TAIA,expired,2025-10-17 11:18:51,2025-07-18 11:18:51
35,144,CPNXXTPDV,expired,2025-12-18 11:18:51,2025-06-26 11:18:51
36,147,CPN3O4CFT,expired,2025-10-18 11:18:51,2025-07-06 11:18:51
37,160,CPN916BST,expired,2025-11-08 11:18:51,2025-07-31 11:18:51
38,168,CPN1NAI9U,used,2025-11-21 11:18:51,2025-07-14 11:18:51
39,173,CPNVJWO4S,expired,2025-11-16 11:18:51,2025-06-15 11:18:51
40,185,CPNPA7Q4V,used,2025-11-15 11:18:51,2025-07-14 11:18:51
41,186,CPNDQF27P,expired,2025-12-11 11:18:51,2025-07-09 11:18:51
42,199,CPNWAXZW2,expired,2025-12-14 11:18:51,2025-08-19 11:18:51
43,209,CPND3VQF0,unused,2025-11-25 11:18:51,2025-07-06 11:18:51
44,213,CPNZS8L6A,unused,2025-12-21 11:18:51,2025-08-08 11:18:51
45,219,CPNLHZZ81,expired,2025-12-12 11:18:51,2025-08-29 11:18:51
46,221,CPNJWGAEB,expired,2025-12-21 11:18:51,2025-08-04 11:18:51
47,222,CPNF081AH,expired,2025-12-07 11:18:51,2025-09-05 11:18:51
48,223,CPNH3YM1L,used,2025-11-04 11:18:51,2025-07-17 11:18:51
49,224,CPNF0Z7CO,unused,2025-11-09 11:18:51,2025-07-20 11:18:51
50,229,CPN0209EY,expired,2025-12-16 11:18:51,2025-07-06 11:18:51
51,244,CPNJM4KC7,expired,2025-11-28 11:18:51,2025-07-19 11:18:51
52,249,CPN6J6F67,expired,2026-01-01 11:18:51,2025-07-19 11:18:51
53,251,CPNNH6SL8,unused,2026-01-08 11:18:51,2025-08-05 11:18:51
54,252,CPN4KG4KB,unused,2025-11-08 11:18:51,2025-07-19 11:18:51
55,256,CPN5JZPAW,expired,2025-12-12 11:18:51,2025-07-02 11:18:51
56,262,CPNP6D343,unused,2025-12-30 11:18:51,2025-07-18 11:18:51
57,263,CPNDESMKL,unused,2025-12-21 11:18:51,2025-09-04 11:18:51
58,272,CPNFFNZL4,unused,2025-11-12 11:18:51,2025-07-17 11:18:51
59,280,CPN29SLNM,used,2025-12-05 11:18:51,2025-09-05 11:18:51
60,286,CPN695E2H,used,2025-12-06 11:18:51,2025-09-07 11:18:51
61,289,CPNURSS7I,used,2025-11-24 11:18:51,2025-07-13 11:18:51
62,295,CPNKJHEL5,expired,2025-11-17 11:18:51,2025-06-20 11:18:51
63,296,CPNO2JOI6,unused,2025-11-25 11:18:51,2025-07-06 11:18:51
64,298,CPNPKRUAF,expired,2026-01-01 11:18:51,2025-06-19 11:18:51
65,299,CPN8WRY6E,expired,2025-10-20 11:18:51,2025-07-17 11:18:51
66,311,CPNE7EBP0,expired,2025-12-09 11:18:51,2025-08-26 11:18:51
67,313,CPNKOE50Y,expired,2025-11-16 11:18:51,2025-06-27 11:18:51
68,319,CPNTBM2V7,expired,2025-11-03 11:18:51,2025-07-04 11:18:51
69,324,CPNRR6U6S,expired,2025-10-20 11:18:51,2025-08-08 11:18:51
70,328,CPNH8VKJ4,expired,2026-01-04 11:18:51,2025-06-13 11:18:51
71,334,CPNSPHBZD,used,2025-11-19 11:18:51,2025-07-12 11:18:51
72,359,CPN3BLCW9,used,2025-12-07 11:18:51,2025-06-29 11:18:51
73,362,CPN01J6F5,expired,2025-10-30 11:18:51,2025-06-27 11:18:51
74,368,CPN9CPLXE,used,2026-01-03 11:18:51,2025-07-16 11:18:51
75,372,CPN0SZRGI,unused,2025-10-18 11:18:51,2025-08-04 11:18:51
76,377,CPND2IY7P,used,2026-01-03 11:18:51,2025-06-13 11:18:51
77,380,CPNHXL33C,unused,2025-12-18 11:18:51,2025-06-16 11:18:51
78,383,CPNXTLVOJ,unused,2025-12-08 11:18:51,2025-06-13 11:18:51
79,384,CPNS2UF90,unused,2026-01-04 11:18:51,2025-07-13 11:18:51
80,385,CPNP85HR8,unused,2025-10-23 11:18:51,2025-06-23 11:18:51
81,394,CPNQNMSJ7,expired,2025-12-29 11:18:51,2025-08-06 11:18:51
82,397,CPNQE986E,expired,2026-01-07 11:18:51,2025-08-23 11:18:51
83,399,CPN8WYSL0,expired,2026-01-05 11:18:51,2025-07-17 11:18:51
84,403,CPNTCM0J3,used,2025-10-18 11:18:51,2025-07-21 11:18:51
85,422,CPN4UMVQ6,used,2025-11-07 11:18:51,2025-07-17 11:18:51
86,426,CPNAA2I6O,unused,2025-12-19 11:18:51,2025-09-07 11:18:51
87,431,CPN92X2X5,unused,2025-12-11 11:18:51,2025-07-28 11:18:51
88,435,CPN7EHDIQ,expired,2025-12-02 11:18:51,2025-08-07 11:18:51
89,446,CPN9WR2P2,unused,2025-12-15 11:18:51,2025-08-13 11:18:51
