id,liker_id,likee_id,status,created_at,updated_at
1,1,53,pending,2025-08-07 09:54:51,2025-08-07 09:54:51
2,1,58,pending,2025-07-20 07:58:51,2025-07-20 07:58:51
3,1,217,pending,2025-08-23 22:34:51,2025-08-23 22:34:51
4,1,247,pending,2025-08-30 00:32:51,2025-08-30 00:32:51
5,1,380,pending,2025-06-28 05:10:51,2025-06-28 05:10:51
6,1,650,pending,2025-08-15 18:52:51,2025-08-15 18:52:51
7,1,742,pending,2025-08-07 20:08:51,2025-08-07 20:08:51
8,1,991,pending,2025-08-19 14:10:51,2025-08-19 14:10:51
9,1,1291,pending,2025-07-13 14:13:51,2025-07-13 14:13:51
10,1,1472,pending,2025-06-17 15:21:51,2025-06-17 15:21:51
11,1,1583,pending,2025-08-24 12:28:51,2025-08-24 12:28:51
12,1,1756,pending,2025-07-07 15:21:51,2025-07-07 15:21:51
13,2,83,pending,2025-08-30 17:54:51,2025-08-30 17:54:51
14,2,140,pending,2025-07-28 17:36:51,2025-07-28 17:36:51
15,2,742,pending,2025-07-28 18:46:51,2025-07-28 18:46:51
16,2,806,pending,2025-06-29 22:04:51,2025-06-29 22:04:51
17,2,847,pending,2025-08-27 11:25:51,2025-08-27 11:25:51
18,2,1305,pending,2025-08-05 14:09:51,2025-08-05 14:09:51
19,2,1569,pending,2025-08-17 00:29:51,2025-08-17 00:29:51
20,2,1596,pending,2025-07-12 08:38:51,2025-07-12 08:38:51
21,2,1639,pending,2025-07-29 22:10:51,2025-07-29 22:10:51
22,2,1874,pending,2025-08-07 09:32:51,2025-08-07 09:32:51
23,2,1951,pending,2025-09-10 19:46:51,2025-09-10 19:46:51
24,2,1955,pending,2025-07-01 13:46:51,2025-07-01 13:46:51
25,3,172,pending,2025-07-19 13:46:51,2025-07-19 13:46:51
26,3,176,pending,2025-07-18 15:18:51,2025-07-18 15:18:51
27,3,421,pending,2025-07-02 09:37:51,2025-07-02 09:37:51
28,3,468,pending,2025-08-10 06:43:51,2025-08-10 06:43:51
29,3,529,pending,2025-07-01 11:29:51,2025-07-01 11:29:51
30,3,854,pending,2025-07-28 07:02:51,2025-07-28 07:02:51
31,3,944,pending,2025-07-20 17:08:51,2025-07-20 17:08:51
32,3,1230,pending,2025-07-30 11:41:51,2025-07-30 11:41:51
33,3,1619,accepted,2025-06-17 10:44:51,2025-06-17 10:44:51
34,3,1840,pending,2025-08-21 21:25:51,2025-08-21 21:25:51
35,3,1919,pending,2025-08-23 01:00:51,2025-08-23 01:00:51
36,3,1962,pending,2025-08-29 23:42:51,2025-08-29 23:42:51
37,4,133,pending,2025-07-18 05:36:51,2025-07-18 05:36:51
38,4,233,pending,2025-07-25 23:28:51,2025-07-25 23:28:51
39,4,588,pending,2025-08-01 06:32:51,2025-08-01 06:32:51
40,4,665,pending,2025-09-05 18:56:51,2025-09-05 18:56:51
41,4,666,pending,2025-08-17 22:58:51,2025-08-17 22:58:51
42,4,814,pending,2025-08-16 22:21:51,2025-08-16 22:21:51
43,4,1004,pending,2025-08-18 01:51:51,2025-08-18 01:51:51
44,4,1071,pending,2025-06-21 18:00:51,2025-06-21 18:00:51
45,4,1298,pending,2025-08-29 17:18:51,2025-08-29 17:18:51
46,4,1373,pending,2025-07-12 12:26:51,2025-07-12 12:26:51
47,4,1646,pending,2025-07-01 08:00:51,2025-07-01 08:00:51
48,4,1879,pending,2025-06-13 20:42:51,2025-06-13 20:42:51
49,5,121,pending,2025-09-02 08:29:51,2025-09-02 08:29:51
50,5,342,pending,2025-06-25 09:24:51,2025-06-25 09:24:51
51,5,401,pending,2025-07-13 12:08:51,2025-07-13 12:08:51
52,5,734,pending,2025-06-16 12:32:51,2025-06-16 12:32:51
53,5,832,pending,2025-06-26 03:21:51,2025-06-26 03:21:51
54,5,984,pending,2025-06-14 02:03:51,2025-06-14 02:03:51
55,5,1136,pending,2025-08-30 22:40:51,2025-08-30 22:40:51
56,5,1256,pending,2025-08-05 23:03:51,2025-08-05 23:03:51
57,5,1258,pending,2025-07-07 17:20:51,2025-07-07 17:20:51
58,5,1723,pending,2025-08-21 05:30:51,2025-08-21 05:30:51
59,5,1970,pending,2025-07-10 17:06:51,2025-07-10 17:06:51
60,5,1995,pending,2025-08-28 17:55:51,2025-08-28 17:55:51
61,6,4,pending,2025-07-07 23:32:51,2025-07-07 23:32:51
62,6,13,pending,2025-08-21 10:14:51,2025-08-21 10:14:51
63,6,198,pending,2025-08-08 03:16:51,2025-08-08 03:16:51
64,6,237,pending,2025-09-02 21:52:51,2025-09-02 21:52:51
65,6,995,pending,2025-07-25 12:54:51,2025-07-25 12:54:51
66,6,1211,pending,2025-06-27 12:41:51,2025-06-27 12:41:51
67,6,1348,pending,2025-08-29 03:03:51,2025-08-29 03:03:51
68,6,1485,pending,2025-07-31 11:57:51,2025-07-31 11:57:51
69,6,1592,pending,2025-08-02 13:43:51,2025-08-02 13:43:51
70,6,1851,pending,2025-08-09 13:40:51,2025-08-09 13:40:51
71,6,1907,pending,2025-07-05 02:12:51,2025-07-05 02:12:51
72,6,1943,pending,2025-08-01 03:09:51,2025-08-01 03:09:51
73,7,6,pending,2025-07-13 21:38:51,2025-07-13 21:38:51
74,7,45,pending,2025-09-08 09:45:51,2025-09-08 09:45:51
75,7,353,pending,2025-09-01 08:34:51,2025-09-01 08:34:51
76,7,432,pending,2025-07-02 20:05:51,2025-07-02 20:05:51
77,7,616,pending,2025-06-28 22:00:51,2025-06-28 22:00:51
78,7,1187,pending,2025-09-08 17:40:51,2025-09-08 17:40:51
