id,user_id,visibility_scope,contact_sharing,org_block_enabled,phonebook_block_enabled,location_precision,data_export_requested,deletion_requested,created_at,updated_at
1,1,matchmaker_only,double_confirm,1,1,city,0,0,2025-09-02 11:18:51,2025-09-02 11:18:51
2,2,matched,double_confirm,1,1,city,0,0,2025-08-05 11:18:51,2025-08-05 11:18:51
3,3,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-13 11:18:51,2025-08-13 11:18:51
4,4,public,double_confirm,1,1,city,0,0,2025-07-14 11:18:51,2025-07-14 11:18:51
5,5,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-03 11:18:51,2025-07-03 11:18:51
6,6,matched,double_confirm,1,1,city,0,0,2025-07-31 11:18:51,2025-07-31 11:18:51
7,7,public,double_confirm,1,1,city,0,0,2025-08-13 11:18:51,2025-08-13 11:18:51
8,8,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-02 11:18:51,2025-08-02 11:18:51
9,9,public,double_confirm,1,1,city,0,0,2025-08-17 11:18:51,2025-08-17 11:18:51
10,10,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-26 11:18:51,2025-06-26 11:18:51
11,11,matched,double_confirm,1,1,city,0,0,2025-06-21 11:18:51,2025-06-21 11:18:51
12,12,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-12 11:18:51,2025-06-12 11:18:51
13,13,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-02 11:18:51,2025-08-02 11:18:51
14,14,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-24 11:18:51,2025-07-24 11:18:51
15,15,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-12 11:18:51,2025-08-12 11:18:51
16,16,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-26 11:18:51,2025-07-26 11:18:51
17,17,matched,double_confirm,1,1,city,0,0,2025-08-09 11:18:51,2025-08-09 11:18:51
18,18,matched,double_confirm,1,1,city,0,0,2025-08-12 11:18:51,2025-08-12 11:18:51
19,19,public,double_confirm,1,1,city,0,0,2025-07-08 11:18:51,2025-07-08 11:18:51
20,20,public,double_confirm,1,1,city,0,0,2025-08-07 11:18:51,2025-08-07 11:18:51
21,21,matched,double_confirm,1,1,city,0,0,2025-08-02 11:18:51,2025-08-02 11:18:51
22,22,public,double_confirm,1,1,city,0,0,2025-06-12 11:18:51,2025-06-12 11:18:51
23,23,matchmaker_only,double_confirm,1,1,city,0,0,2025-07-07 11:18:51,2025-07-07 11:18:51
24,24,matched,double_confirm,1,1,city,0,0,2025-08-13 11:18:51,2025-08-13 11:18:51
25,25,matched,double_confirm,1,1,city,0,0,2025-06-13 11:18:51,2025-06-13 11:18:51
26,26,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-23 11:18:51,2025-08-23 11:18:51
27,27,matched,double_confirm,1,1,city,0,0,2025-07-23 11:18:51,2025-07-23 11:18:51
28,28,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-06 11:18:51,2025-08-06 11:18:51
29,29,matched,double_confirm,1,1,city,0,0,2025-09-02 11:18:51,2025-09-02 11:18:51
30,30,public,double_confirm,1,1,city,0,0,2025-08-27 11:18:51,2025-08-27 11:18:51
31,31,public,double_confirm,1,1,city,0,0,2025-07-16 11:18:51,2025-07-16 11:18:51
32,32,matched,double_confirm,1,1,city,0,0,2025-06-20 11:18:51,2025-06-20 11:18:51
33,33,public,double_confirm,1,1,city,0,0,2025-09-05 11:18:51,2025-09-05 11:18:51
34,34,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-09 11:18:51,2025-08-09 11:18:51
35,35,matchmaker_only,double_confirm,1,1,city,0,0,2025-08-26 11:18:51,2025-08-26 11:18:51
36,36,matched,double_confirm,1,1,city,0,0,2025-06-27 11:18:51,2025-06-27 11:18:51
37,37,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-25 11:18:51,2025-06-25 11:18:51
38,38,public,double_confirm,1,1,city,0,0,2025-07-26 11:18:51,2025-07-26 11:18:51
39,39,matched,double_confirm,1,1,city,0,0,2025-06-25 11:18:51,2025-06-25 11:18:51
40,40,matched,double_confirm,1,1,city,0,0,2025-08-15 11:18:51,2025-08-15 11:18:51
41,41,matchmaker_only,double_confirm,1,1,city,0,0,2025-06-25 11:18:51,2025-06-25 11:18:51
42,42,matched,double_confirm,1,1,city,0,0,2025-06-19 11:18:51,2025-06-19 11:18:51
43,43,matched,double_confirm,1,1,city,0,0,2025-07-23 11:18:51,2025-07-23 11:18:51
