id,user_a_id,user_b_id,stage,updated_by,updated_at
1,217,1246,off_the_shelf,217,2025-09-02 04:31:51
2,250,1136,exclusive,1136,2025-09-08 13:34:51
3,292,817,exclusive,817,2025-08-26 20:08:51
4,297,712,exclusive,297,2025-09-08 23:33:51
5,299,691,dating,691,2025-08-26 21:44:51
6,364,1462,off_the_shelf,1462,2025-08-21 19:27:51
7,507,1879,met,507,2025-08-29 05:41:51
8,561,855,met,855,2025-07-18 01:18:51
9,601,1430,dating,601,2025-07-24 16:14:51
10,743,784,exclusive,743,2025-08-29 11:38:51
11,840,849,exclusive,849,2025-08-28 13:52:51
12,897,1246,exclusive,1246,2025-08-06 18:23:51
13,1100,1462,dating,1462,2025-07-07 10:46:51
14,1216,1927,met,1216,2025-08-14 16:29:51
15,1217,1415,dating,1217,2025-06-27 11:06:51
16,1368,1681,dating,1368,2025-09-02 00:09:51
17,1524,1769,off_the_shelf,1524,2025-07-30 17:34:51
18,1858,1949,dating,1858,2025-09-04 05:09:51
