id,user_id,relationship_goal,preferred_age_min,preferred_age_max,preferred_height_min,preferred_height_max,preferred_cities,accept_long_distance,accept_divorce,accept_children,marriage_timeline,child_plan,family_view,religion,must_not_accept,bonus_points,created_at,updated_at
1,1,marriage,27,33,157,162,"[""Nanjing"", ""Tianjin"", ""Hangzhou""]",0,1,1,1y,flexible,independent,christian,"[""heavy_drinking""]","[""chef"", ""family_oriented""]",2025-09-06 09:27:13,2025-09-06 09:27:13
2,2,dating,25,35,161,177,"[""Guangzhou""]",1,1,1,2y,unknown,independent,buddhism,[],[],2025-08-09 09:27:13,2025-08-09 09:27:13
3,3,dating,24,32,159,172,"[""Shenzhen"", ""Chengdu"", ""Tianjin""]",0,1,1,flexible,,with_parents,christian,"[""heavy_drinking"", ""pet_reject""]",[],2025-08-29 09:27:13,2025-08-29 09:27:13
4,4,marriage,28,34,159,172,"[""Tianjin""]",1,0,1,unknown,flexible,independent,none,"[""no_children""]","[""financially_prudent"", ""traveler"", ""chef""]",2025-07-18 09:27:13,2025-07-18 09:27:13
5,5,marriage,24,32,150,166,"[""Suzhou"", ""Chengdu""]",0,1,1,flexible,flexible,,none,"[""no_children"", ""smoking""]","[""chef""]",2025-07-07 09:27:13,2025-07-07 09:27:13
6,6,dating,24,28,161,176,"[""Hangzhou"", ""Beijing"", ""Xi'an""]",0,1,1,flexible,,,christian,[],"[""financially_prudent""]",2025-08-04 09:27:13,2025-08-04 09:27:13
7,7,marriage,27,32,160,175,"[""Shanghai"", ""Wuhan"", ""Guangzhou""]",1,0,1,1y,unknown,flexible,christian,"[""heavy_drinking""]","[""reader"", ""chef""]",2025-08-17 09:27:13,2025-08-17 09:27:13
8,8,dating,28,36,153,164,"[""Beijing"", ""Shanghai"", ""Chengdu""]",1,1,0,2y,want,flexible,taoism,"[""pet_reject""]","[""chef""]",2025-08-06 09:27:13,2025-08-06 09:27:13
9,9,dating,28,36,163,179,"[""Guangzhou"", ""Wuhan"", ""Beijing""]",1,0,1,flexible,want,flexible,islam,"[""smoking""]","[""financially_prudent""]",2025-08-21 09:27:13,2025-08-21 09:27:13
10,10,marriage,22,26,165,174,"[""Suzhou"", ""Chengdu""]",1,0,1,2y,dont_want,flexible,buddhism,"[""heavy_drinking"", ""pet_reject""]","[""family_oriented"", ""traveler""]",2025-07-21 09:27:13,2025-07-21 09:27:13
11,11,dating,25,34,159,167,"[""Chengdu"", ""Nanjing"", ""Shanghai""]",1,1,1,,dont_want,independent,none,[],"[""traveler"", ""sporty""]",2025-06-28 09:27:13,2025-06-28 09:27:13
12,12,marriage,25,29,157,176,"[""Guangzhou"", ""Suzhou""]",1,1,0,,flexible,independent,,"[""heavy_drinking""]",[],2025-07-22 09:27:13,2025-07-22 09:27:13
13,13,marriage,28,37,158,176,"[""Chengdu"", ""Shanghai""]",1,1,1,1y,unknown,,christian,"[""pet_reject""]",[],2025-08-27 09:27:13,2025-08-27 09:27:13
