id,user_id,cert_type,status,doc_meta,reviewed_by,reviewed_at,created_at,updated_at
1,1,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-28 09:27:13
2,1,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-06-24 09:27:13
3,1,education,pending,"{""meta"":""ocr""}",,,2025-10-15 02:17:14,2025-07-26 09:27:13
4,2,identity,pending,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-01 09:27:13
5,2,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-06-21 09:27:13
6,2,education,approved,"{""meta"":""ocr""}",,,2025-10-15 02:17:14,2025-07-04 09:27:13
7,3,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-03 09:27:13
8,3,photo_liveness,pending,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-06-26 09:27:13
9,4,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-06-18 09:27:13
10,4,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-25 09:27:13
11,5,identity,pending,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-09-12 09:27:13
12,5,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-03 09:27:13
13,6,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-06-25 09:27:13
14,6,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-01 09:27:13
15,6,employment,approved,"{""meta"":""ocr""}",,,2025-10-15 02:17:14,2025-08-15 09:27:13
16,7,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-08 09:27:13
17,7,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-08 09:27:13
18,7,income,approved,"{""meta"":""ocr""}",,,2025-10-15 02:17:14,2025-06-26 09:27:13
19,8,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-31 09:27:13
20,8,photo_liveness,pending,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-14 09:27:13
21,9,identity,pending,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-27 09:27:13
22,9,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-07 09:27:13
23,10,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-09-08 09:27:13
24,10,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-21 09:27:13
25,10,income,rejected,"{""meta"":""ocr""}",,,2025-10-15 02:17:14,2025-08-03 09:27:13
26,11,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-07-16 09:27:13
27,11,photo_liveness,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-12 09:27:13
28,11,employment,rejected,"{""meta"":""ocr""}",,,2025-10-15 02:17:14,2025-06-27 09:27:13
29,12,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-12 09:27:13
30,12,photo_liveness,pending,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-14 09:27:13
31,13,identity,approved,"{""file"":""redacted.png""}",,,2025-10-15 02:17:14,2025-08-29 09:27:13
