id,user_id,schedule,drinking,smoking,workout_freq,diet,pet_view,spending_view,saving_view,travel_pref,interests,personality,created_at,updated_at
1,1,late,occasionally,occasionally,daily,normal,reject,luxury,conservative,"[""desert""]","[""running"",""yoga"",""music"",""coding"",""photography""]",ESFJ,2025-09-06 09:27:13,2025-11-05 02:16:24
2,2,normal,often,often,weekly,low_carb,ok,luxury,conservative,"[""island"",""roadtrip""]","[""football"",""boardgame"",""gaming"",""hiking"",""yoga""]",ENFP,2025-08-09 09:27:13,2025-08-09 09:27:13
3,3,normal,often,never,daily,keto,ok,balanced,aggressive,"""[\""sea\"",\""citywalk\""]""","""[\""boardgame\"",\""running\"",\""music\"",\""movie\"",\""coding\"",\""cooking\""]""",INTJ,2025-08-29 09:27:13,2025-11-02 12:02:07
4,4,early,never,occasionally,3+weekly,halal,reject,balanced,aggressive,"[""roadtrip"",""citywalk""]","[""boardgame"",""basketball"",""photography"",""coding""]",ISFJ,2025-07-18 09:27:13,2025-11-05 00:54:00
5,5,early,never,often,3+weekly,keto,love,balanced,aggressive,"[""mountain"",""citywalk""]","[""gaming"",""photography"",""boardgame"",""coding"",""music""]",ISFJ,2025-07-07 09:27:13,2025-11-05 06:27:54
6,6,early,never,never,daily,vegetarian,love,luxury,aggressive,"[""museum""]","[""hiking"",""boardgame""]",ISTP,2025-08-04 09:27:13,2025-11-05 01:30:01
7,7,early,occasionally,often,3+weekly,halal,reject,frugal,balanced,"[""museum""]","[""reading"",""travel"",""gaming""]",ENTP,2025-08-17 09:27:13,2025-08-17 09:27:13
8,8,late,never,never,daily,halal,reject,balanced,aggressive,"[""citywalk"",""roadtrip"",""mountain""]","[""cooking"",""gaming"",""coding""]",INTJ,2025-08-06 09:27:13,2025-11-02 13:46:45
9,9,normal,occasionally,often,none,normal,ok,luxury,aggressive,"[""desert""]","[""music"",""football"",""coding""]",ESFJ,2025-08-21 09:27:13,2025-11-04 13:33:12
10,10,normal,never,never,none,halal,allergic,frugal,aggressive,"[""museum"",""sea""]","[""movie"",""coding"",""yoga"",""reading"",""running"",""basketball""]",ISTP,2025-07-21 09:27:13,2025-07-21 09:27:13
11,11,early,never,occasionally,weekly,low_carb,ok,balanced,aggressive,"[""mountain""]","[""boardgame"",""gaming"",""hiking"",""football"",""running"",""photography""]",INTJ,2025-06-28 09:27:13,2025-11-10 12:51:48
12,12,late,often,often,daily,low_carb,love,luxury,balanced,"[""roadtrip""]","[""running"",""photography"",""basketball"",""movie"",""cooking""]",,2025-07-22 09:27:13,2025-07-22 09:27:13
13,13,early,never,often,weekly,vegan,ok,frugal,aggressive,"[""mountain"",""island"",""roadtrip""]","[""coding"",""movie"",""music"",""travel"",""cooking""]",ESFJ,2025-08-27 09:27:13,2025-10-27 13:07:33
14,14,early,never,never,daily,low_carb,love,luxury,conservative,"[""museum"",""citywalk"",""island""]","[""movie"",""reading"",""photography"",""basketball"",""coding"",""yoga""]",ISTP,2025-06-16 09:27:13,2025-06-16 09:27:13
15,15,late,never,occasionally,none,normal,ok,luxury,aggressive,"[""mountain""]","[""yoga"",""running"",""travel"",""coding"",""photography"",""boardgame""]",ISTP,2025-07-06 09:27:13,2025-07-06 09:27:13
16,16,normal,never,occasionally,none,keto,allergic,luxury,aggressive,"[""island"",""roadtrip"",""desert""]","[""basketball"",""running"",""boardgame"",""hiking""]",ISTP,2025-09-13 09:27:13,2025-09-13 09:27:13
17,17,early,never,occasionally,daily,halal,reject,balanced,balanced,"[""desert"",""citywalk""]","[""gaming"",""movie""]",ISFJ,2025-07-15 09:27:13,2025-07-15 09:27:13
18,18,late,occasionally,occasionally,daily,normal,love,frugal,aggressive,"[""roadtrip"",""museum""]","[""football"",""boardgame"",""yoga"",""running"",""cooking""]",ENFP,2025-08-29 09:27:13,2025-08-29 09:27:13
19,19,normal,occasionally,often,weekly,halal,reject,frugal,aggressive,"[""sea"",""museum"",""roadtrip""]","[""movie"",""photography"",""boardgame"",""cooking"",""coding""]",ENFP,2025-06-17 09:27:13,2025-06-17 09:27:13
20,20,late,occasionally,never,weekly,halal,love,balanced,conservative,"[""sea"",""citywalk"",""desert""]","[""basketball"",""running"",""coding""]",,2025-08-25 09:27:13,2025-11-10 02:29:00
21,21,late,occasionally,often,weekly,vegan,allergic,balanced,conservative,"[""citywalk"",""sea""]","[""football"",""music"",""reading"",""travel"",""yoga"",""basketball""]",ENFP,2025-08-06 09:27:13,2025-08-06 09:27:13
22,22,normal,never,occasionally,daily,vegetarian,ok,balanced,balanced,"[""museum""]","[""running"",""hiking"",""travel"",""cooking"",""boardgame"",""coding""]",ENFP,2025-06-16 09:27:13,2025-06-16 09:27:13
23,23,late,often,occasionally,weekly,low_carb,reject,frugal,conservative,"[""citywalk""]","[""gaming"",""football"",""photography""]",ISFJ,2025-08-15 09:27:13,2025-08-15 09:27:13
24,24,early,often,never,weekly,low_carb,reject,balanced,balanced,"[""mountain"",""sea"",""desert""]","[""coding"",""reading"",""cooking""]",ESFJ,2025-07-27 09:27:13,2025-07-27 09:27:13
25,25,early,occasionally,often,daily,vegetarian,allergic,frugal,aggressive,"[""desert""]","[""movie"",""boardgame"",""travel"",""yoga"",""football""]",ESFJ,2025-07-31 09:27:13,2025-07-31 09:27:13
26,26,normal,occasionally,never,3+weekly,halal,allergic,luxury,conservative,"[""roadtrip""]","[""movie"",""music"",""yoga"",""running"",""gaming""]",ISTP,2025-07-03 09:27:13,2025-07-03 09:27:13
27,27,early,occasionally,often,weekly,keto,allergic,luxury,aggressive,"[""mountain"",""citywalk"",""roadtrip""]","[""yoga"",""gaming"",""music"",""cooking""]",ENFP,2025-08-12 09:27:13,2025-08-12 09:27:13
28,28,late,never,often,weekly,halal,love,frugal,balanced,"[""roadtrip"",""museum"",""island""]","[""gaming"",""coding"",""hiking""]",ESFJ,2025-07-30 09:27:13,2025-07-30 09:27:13
29,29,late,never,never,none,vegan,allergic,luxury,conservative,"[""island""]","[""reading"",""football"",""boardgame"",""photography""]",,2025-09-10 09:27:13,2025-09-10 09:27:13
30,30,early,never,occasionally,weekly,normal,love,luxury,balanced,"[""mountain"",""desert"",""citywalk""]","[""boardgame"",""basketball"",""music""]",ESFJ,2025-07-05 09:27:13,2025-07-05 09:27:13
31,31,normal,occasionally,never,weekly,low_carb,ok,luxury,balanced,"[""museum"",""island"",""desert""]","[""gaming"",""boardgame"",""music"",""yoga"",""basketball""]",,2025-07-20 09:27:13,2025-07-20 09:27:13
32,32,late,occasionally,occasionally,weekly,keto,reject,frugal,conservative,"[""citywalk"",""desert"",""island""]","[""cooking"",""football""]",ENTP,2025-06-24 09:27:13,2025-06-24 09:27:13
