id,liker_id,likee_id,status,created_at,updated_at
1,1,39,pending,2025-06-24 10:01:13,2025-06-24 10:01:13
2,1,331,pending,2025-07-31 23:53:13,2025-07-31 23:53:13
3,1,603,pending,2025-08-01 00:27:13,2025-08-01 00:27:13
4,1,750,pending,2025-08-16 10:41:13,2025-08-16 10:41:13
5,1,969,pending,2025-08-29 22:07:13,2025-08-29 22:07:13
6,1,1014,pending,2025-09-12 06:14:13,2025-09-12 06:14:13
7,1,1023,pending,2025-06-29 23:10:13,2025-06-29 23:10:13
8,1,1278,pending,2025-08-05 14:04:13,2025-08-05 14:04:13
9,1,1290,pending,2025-09-01 23:52:13,2025-09-01 23:52:13
10,1,1319,pending,2025-09-04 09:05:13,2025-09-04 09:05:13
11,1,1723,pending,2025-07-30 19:53:13,2025-07-30 19:53:13
12,1,1935,pending,2025-07-06 16:19:13,2025-07-06 16:19:13
13,2,50,pending,2025-07-11 11:12:13,2025-07-11 11:12:13
14,2,375,pending,2025-06-17 20:56:13,2025-06-17 20:56:13
15,2,481,pending,2025-07-25 19:56:13,2025-07-25 19:56:13
16,2,549,pending,2025-06-22 14:18:13,2025-06-22 14:18:13
17,2,590,pending,2025-09-02 09:22:13,2025-09-02 09:22:13
18,2,610,pending,2025-08-24 06:47:13,2025-08-24 06:47:13
19,2,667,pending,2025-09-07 07:44:13,2025-09-07 07:44:13
20,2,1094,pending,2025-07-12 16:57:13,2025-07-12 16:57:13
21,2,1201,pending,2025-07-21 12:35:13,2025-07-21 12:35:13
22,2,1408,pending,2025-06-21 18:52:13,2025-06-21 18:52:13
23,2,1500,accepted,2025-08-12 02:47:13,2025-08-12 02:47:13
24,2,1995,accepted,2025-08-31 22:24:13,2025-11-02 02:52:23
25,3,167,pending,2025-06-25 23:36:13,2025-06-25 23:36:13
26,3,613,pending,2025-08-12 11:41:13,2025-08-12 11:41:13
27,3,825,pending,2025-06-23 04:58:13,2025-06-23 04:58:13
28,3,924,pending,2025-08-26 11:33:13,2025-08-26 11:33:13
29,3,961,pending,2025-09-11 05:36:13,2025-09-11 05:36:13
30,3,1018,pending,2025-07-24 22:32:13,2025-07-24 22:32:13
31,3,1198,pending,2025-09-09 20:20:13,2025-09-09 20:20:13
32,3,1478,pending,2025-07-10 11:38:13,2025-07-10 11:38:13
33,3,1585,pending,2025-07-31 17:30:13,2025-07-31 17:30:13
34,3,1642,pending,2025-09-13 09:17:13,2025-09-13 09:17:13
35,3,1894,pending,2025-08-03 20:21:13,2025-08-03 20:21:13
36,3,1901,pending,2025-06-25 20:07:13,2025-06-25 20:07:13
37,4,65,accepted,2025-09-08 14:41:13,2025-09-08 14:41:13
38,4,104,pending,2025-06-20 16:24:13,2025-06-20 16:24:13
39,4,120,pending,2025-08-07 23:22:13,2025-08-07 23:22:13
40,4,217,pending,2025-06-22 10:08:13,2025-06-22 10:08:13
41,4,279,pending,2025-07-31 12:14:13,2025-07-31 12:14:13
42,4,519,pending,2025-07-31 20:20:13,2025-07-31 20:20:13
43,4,549,pending,2025-08-16 07:02:13,2025-08-16 07:02:13
44,4,590,pending,2025-07-27 16:07:13,2025-07-27 16:07:13
45,4,1125,pending,2025-08-22 23:15:13,2025-08-22 23:15:13
46,4,1369,pending,2025-07-26 20:54:13,2025-07-26 20:54:13
47,4,1430,pending,2025-08-06 21:56:13,2025-08-06 21:56:13
48,4,1996,accepted,2025-07-24 19:37:13,2025-11-01 16:47:41
49,5,200,pending,2025-07-06 22:53:13,2025-07-06 22:53:13
50,5,301,pending,2025-09-11 18:24:13,2025-09-11 18:24:13
51,5,686,pending,2025-06-18 20:48:13,2025-06-18 20:48:13
52,5,720,pending,2025-08-19 18:17:13,2025-08-19 18:17:13
53,5,819,pending,2025-08-31 04:30:13,2025-08-31 04:30:13
54,5,853,pending,2025-06-21 19:29:13,2025-06-21 19:29:13
55,5,913,pending,2025-08-26 09:19:13,2025-08-26 09:19:13
56,5,917,pending,2025-07-08 06:47:13,2025-07-08 06:47:13
57,5,919,pending,2025-08-10 08:58:13,2025-08-10 08:58:13
58,5,1364,pending,2025-06-24 18:33:13,2025-06-24 18:33:13
59,5,1675,pending,2025-08-20 21:15:13,2025-08-20 21:15:13
60,5,1983,pending,2025-07-26 13:41:13,2025-07-26 13:41:13
61,6,77,pending,2025-08-01 06:45:13,2025-08-01 06:45:13
62,6,232,pending,2025-08-30 03:57:13,2025-08-30 03:57:13
63,6,271,pending,2025-06-24 12:31:13,2025-06-24 12:31:13
64,6,713,pending,2025-08-17 07:18:13,2025-08-17 07:18:13
65,6,949,pending,2025-06-23 16:02:13,2025-06-23 16:02:13
66,6,996,pending,2025-09-11 09:08:13,2025-09-11 09:08:13
67,6,1138,pending,2025-09-10 22:55:13,2025-09-10 22:55:13
68,6,1394,pending,2025-06-17 10:00:13,2025-06-17 10:00:13
69,6,1509,pending,2025-07-24 21:05:13,2025-07-24 21:05:13
70,6,1610,pending,2025-09-13 17:52:13,2025-09-13 17:52:13
71,6,1666,pending,2025-06-24 07:18:13,2025-06-24 07:18:13
72,6,1969,pending,2025-07-20 07:38:13,2025-07-20 07:38:13
73,7,43,pending,2025-09-10 15:31:13,2025-09-10 15:31:13
74,7,248,pending,2025-07-30 01:19:13,2025-07-30 01:19:13
75,7,369,pending,2025-06-24 12:19:13,2025-06-24 12:19:13
76,7,404,pending,2025-07-08 00:12:13,2025-07-08 00:12:13
77,7,453,pending,2025-08-15 18:55:13,2025-08-15 18:55:13
78,7,794,pending,2025-08-03 09:49:13,2025-08-03 09:49:13
79,7,1013,pending,2025-08-02 11:20:13,2025-08-02 11:20:13
80,7,1066,pending,2025-09-10 23:08:13,2025-09-10 23:08:13
81,7,1433,pending,2025-07-24 07:03:13,2025-07-24 07:03:13
82,7,1479,pending,2025-09-12 11:57:13,2025-09-12 11:57:13
83,7,1865,pending,2025-07-19 11:26:13,2025-07-19 11:26:13
84,7,1912,pending,2025-09-01 10:13:13,2025-09-01 10:13:13
85,8,42,pending,2025-06-27 05:12:13,2025-06-27 05:12:13
86,8,179,pending,2025-09-12 09:55:13,2025-09-12 09:55:13
87,8,221,pending,2025-06-28 16:24:13,2025-06-28 16:24:13
88,8,329,pending,2025-07-10 04:20:13,2025-07-10 04:20:13
89,8,917,pending,2025-08-03 09:58:13,2025-08-03 09:58:13
90,8,927,pending,2025-07-02 03:59:13,2025-07-02 03:59:13
91,8,1001,pending,2025-07-06 09:01:13,2025-07-06 09:01:13
92,8,1005,pending,2025-08-31 18:10:13,2025-08-31 18:10:13
93,8,1220,pending,2025-09-11 02:29:13,2025-09-11 02:29:13
94,8,1820,pending,2025-08-26 05:06:13,2025-08-26 05:06:13
95,8,1868,pending,2025-07-30 00:30:13,2025-07-30 00:30:13
96,8,1992,pending,2025-07-05 19:53:13,2025-07-05 19:53:13
97,9,230,pending,2025-08-22 21:57:13,2025-08-22 21:57:13
98,9,373,pending,2025-08-21 01:25:13,2025-08-21 01:25:13
99,9,396,pending,2025-09-05 01:14:13,2025-09-05 01:14:13
100,9,414,pending,2025-06-23 01:26:13,2025-06-23 01:26:13
101,9,505,pending,2025-07-25 21:32:13,2025-07-25 21:32:13
102,9,582,pending,2025-07-02 13:04:13,2025-07-02 13:04:13
103,9,913,pending,2025-08-08 06:49:13,2025-08-08 06:49:13
104,9,955,pending,2025-08-18 11:53:13,2025-08-18 11:53:13
105,9,1457,pending,2025-06-24 06:06:13,2025-06-24 06:06:13
106,9,1525,pending,2025-09-04 17:08:13,2025-09-04 17:08:13
107,9,1567,pending,2025-07-19 01:07:13,2025-07-19 01:07:13
108,9,1838,pending,2025-09-07 10:21:13,2025-09-07 10:21:13
109,10,262,pending,2025-08-17 17:05:13,2025-08-17 17:05:13
110,10,462,pending,2025-07-08 00:43:13,2025-07-08 00:43:13
111,10,618,pending,2025-07-09 22:44:13,2025-07-09 22:44:13
112,10,830,pending,2025-07-07 23:48:13,2025-07-07 23:48:13
113,10,897,pending,2025-08-16 14:39:13,2025-08-16 14:39:13
114,10,920,pending,2025-07-23 00:38:13,2025-07-23 00:38:13
115,10,992,pending,2025-08-09 00:05:13,2025-08-09 00:05:13
116,10,1169,pending,2025-08-17 17:37:13,2025-08-17 17:37:13
117,10,1388,pending,2025-07-03 10:00:13,2025-07-03 10:00:13
118,10,1515,pending,2025-08-03 16:52:13,2025-08-03 16:52:13
119,10,1757,pending,2025-07-20 12:46:13,2025-07-20 12:46:13
120,10,1849,pending,2025-08-03 03:49:13,2025-08-03 03:49:13
121,11,92,pending,2025-06-25 11:52:13,2025-06-25 11:52:13
122,11,171,pending,2025-07-31 10:16:13,2025-07-31 10:16:13
123,11,183,pending,2025-06-21 07:30:13,2025-06-21 07:30:13
124,11,310,pending,2025-08-10 04:08:13,2025-08-10 04:08:13
125,11,378,pending,2025-08-23 05:10:13,2025-08-23 05:10:13
126,11,656,pending,2025-06-24 17:13:13,2025-06-24 17:13:13
127,11,804,pending,2025-08-04 01:34:13,2025-08-04 01:34:13
128,11,874,pending,2025-09-04 18:33:13,2025-09-04 18:33:13
129,11,984,pending,2025-08-13 18:13:13,2025-08-13 18:13:13
130,11,1008,pending,2025-06-22 00:34:13,2025-06-22 00:34:13
131,11,1331,pending,2025-07-31 02:14:13,2025-07-31 02:14:13
132,11,1349,pending,2025-07-25 04:11:13,2025-07-25 04:11:13
133,12,37,pending,2025-09-02 05:28:13,2025-09-02 05:28:13
134,12,72,pending,2025-08-11 19:20:13,2025-08-11 19:20:13
135,12,282,pending,2025-09-06 06:16:13,2025-09-06 06:16:13
136,12,510,pending,2025-08-17 23:13:13,2025-08-17 23:13:13
137,12,780,pending,2025-07-14 20:30:13,2025-07-14 20:30:13
138,12,830,pending,2025-06-18 09:24:13,2025-06-18 09:24:13
139,12,1114,pending,2025-06-27 20:47:13,2025-06-27 20:47:13
140,12,1142,pending,2025-08-08 13:59:13,2025-08-08 13:59:13
141,12,1143,pending,2025-07-25 12:36:13,2025-07-25 12:36:13
142,12,1418,pending,2025-09-09 08:57:13,2025-09-09 08:57:13
143,12,1469,pending,2025-09-09 10:56:13,2025-09-09 10:56:13
144,12,1888,pending,2025-08-08 13:56:13,2025-08-08 13:56:13
145,13,86,pending,2025-08-22 08:20:13,2025-08-22 08:20:13
146,13,225,pending,2025-06-23 22:55:13,2025-06-23 22:55:13
147,13,340,pending,2025-08-31 15:39:13,2025-08-31 15:39:13
148,13,620,pending,2025-07-08 06:24:13,2025-07-08 06:24:13
149,13,702,pending,2025-07-07 09:34:13,2025-07-07 09:34:13
150,13,715,pending,2025-08-13 18:56:13,2025-08-13 18:56:13
151,13,1347,pending,2025-08-17 09:12:13,2025-08-17 09:12:13
152,13,1414,pending,2025-08-24 13:47:13,2025-08-24 13:47:13
153,13,1638,pending,2025-07-18 20:52:13,2025-07-18 20:52:13
154,13,1645,pending,2025-07-21 21:47:13,2025-07-21 21:47:13
155,13,1654,pending,2025-08-15 21:25:13,2025-08-15 21:25:13
156,13,1835,pending,2025-08-16 15:32:13,2025-08-16 15:32:13
157,14,43,pending,2025-08-16 17:16:13,2025-08-16 17:16:13
158,14,105,pending,2025-08-20 14:31:13,2025-08-20 14:31:13
159,14,232,pending,2025-07-23 19:53:13,2025-07-23 19:53:13
160,14,303,pending,2025-06-16 21:42:13,2025-06-16 21:42:13
161,14,498,pending,2025-07-18 01:20:13,2025-07-18 01:20:13
162,14,599,pending,2025-07-25 01:15:13,2025-07-25 01:15:13
163,14,672,pending,2025-09-07 14:59:13,2025-09-07 14:59:13
164,14,818,pending,2025-07-05 04:34:13,2025-07-05 04:34:13
165,14,1367,pending,2025-08-18 23:54:13,2025-08-18 23:54:13
166,14,1578,pending,2025-09-08 07:04:13,2025-09-08 07:04:13
167,14,1614,pending,2025-08-14 13:39:13,2025-08-14 13:39:13
168,14,1692,pending,2025-08-02 13:29:13,2025-08-02 13:29:13
169,15,30,pending,2025-07-19 08:42:13,2025-07-19 08:42:13
170,15,180,pending,2025-07-29 06:58:13,2025-07-29 06:58:13
171,15,198,pending,2025-09-10 22:21:13,2025-09-10 22:21:13
172,15,375,pending,2025-08-06 05:36:13,2025-08-06 05:36:13
173,15,616,pending,2025-07-20 00:52:13,2025-07-20 00:52:13
174,15,955,pending,2025-07-11 08:04:13,2025-07-11 08:04:13
175,15,1230,pending,2025-07-31 20:18:13,2025-07-31 20:18:13
176,15,1333,pending,2025-07-11 16:52:13,2025-07-11 16:52:13
177,15,1488,pending,2025-07-08 04:18:13,2025-07-08 04:18:13
178,15,1599,pending,2025-06-29 02:54:13,2025-06-29 02:54:13
179,15,1927,pending,2025-07-29 20:46:13,2025-07-29 20:46:13
180,15,1992,pending,2025-07-11 19:01:13,2025-07-11 19:01:13
181,16,3,accepted,2025-08-10 16:41:13,2025-11-02 11:06:41
182,16,418,pending,2025-07-30 12:15:13,2025-07-30 12:15:13
183,16,558,pending,2025-09-05 05:08:13,2025-09-05 05:08:13
